﻿date,nok,usd,eur,gbp,brent,gdp yoy,interest rate
4/25/2013,16.90188456,99.25500188,129.1655903,153.1862745,10263.95955,,
4/26/2013,16.76066607,98.05000119,127.7465508,151.7680983,10114.838,,
4/29/2013,16.81831178,97.76500402,128.0737705,151.5381118,10148.98465,,
4/30/2013,16.88276607,97.42499883,128.2873637,151.3317191,9973.39725,,1.5
5/1/2013,16.8830511,97.38999678,128.3532281,151.4921982,9734.1305,,1.5
5/2/2013,16.88404879,97.96500239,127.9918085,152.1838381,10075.70025,,1.5
5/3/2013,17.06324492,99.03500293,129.8869983,154.2138947,10318.45665,,1.5
5/6/2013,17.02417433,99.34499856,129.9038711,154.4043851,10476.9237,,1.5
5/7/2013,16.94168671,99.01499879,129.5001295,153.3272002,10337.166,,1.5
5/8/2013,17.22059583,99.00499975,130.2083333,153.7988311,10330.1817,,1.5
5/9/2013,17.40068559,100.6049982,131.2163758,155.4243084,10510.20435,,1.5
5/10/2013,17.54262859,101.6149976,132.0306311,156.128025,10558.81465,,1.5
5/13/2013,17.54986355,101.8249993,132.1353066,155.7875058,10469.6465,,1.5
5/14/2013,17.54247472,102.365,132.2576379,155.702608,10502.649,,1.5
5/15/2013,17.48389296,102.2350002,131.7523057,155.7632399,10599.7248,,1.5
5/16/2013,17.52510471,102.2549988,131.7175975,156.1524047,10614.069,,1.5
5/17/2013,17.63155343,103.209996,132.5029813,156.5802865,10799.8944,,1.5
5/20/2013,17.52756209,102.269995,131.7523057,156.0062402,10717.896,,1.5
5/21/2013,17.70115146,102.4950052,132.2926313,155.3398058,10650.25545,,1.5
5/22/2013,17.73946054,103.1549955,132.6435867,155.2312946,10583.703,,1.5
5/23/2013,17.50148763,102.0250025,131.9783555,154.1425819,10451.441,,1.5
5/24/2013,17.36653815,101.289999,130.9757695,153.2097441,10396.4056,,1.5
5/27/2013,17.26787657,100.9449966,130.5312622,152.4622656,10358.9759,,1.5
5/28/2013,17.35900151,102.3749976,131.6135825,153.9882969,10670.54625,,1.5
5/29/2013,17.14824659,101.1549979,130.9071868,153.0924679,10361.30665,,1.5
5/30/2013,17.29161443,100.7350029,131.4578678,153.4448366,10294.10965,,1.5
5/31/2013,17.12050266,100.4850009,130.6165099,152.7300496,10087.68915,,1.5
6/3/2013,17.14795253,99.52999944,130.1405518,152.5087693,10158.0318,,1.5
6/4/2013,17.21155584,100.0249962,130.8386759,153.1745424,10326.581,,1.5
6/5/2013,17.05000767,99.06500467,129.7185108,152.6135063,10207.6576,,1.5
6/6/2013,16.87322304,96.96000332,128.4356537,151.2859304,10046.0256,,1.5
6/7/2013,16.91003018,97.54499726,128.9823294,151.7680983,10199.3052,,1.5
6/10/2013,17.1445716,98.76999747,130.9414692,153.7988311,10267.1415,,1.5
6/11/2013,16.6239984,96.02499723,127.8608874,150.2855425,9886.734,,1.5
6/12/2013,16.67959335,96.03000438,128.0737705,150.5570611,9938.1447,,1.5
6/13/2013,16.61253748,95.37499924,127.5672917,149.9250375,9942.84375,,1.5
6/14/2013,16.45792531,94.08499846,125.5808113,147.7541371,9966.42405,,1.5
6/17/2013,16.51145895,94.50999921,126.3423879,148.5773717,9967.9697,,1.5
6/18/2013,16.61847309,95.33000244,127.6813075,149.1313101,10106.8866,,1.5
6/19/2013,16.71136958,96.47499658,128.2544568,149.3986704,10237.927,,1.5
6/20/2013,16.21810102,97.28499942,128.6173633,150.8864579,9937.66275,,1.5
6/21/2013,16.15782968,97.89999613,128.4686536,150.9433962,9879.089,,1.5
6/24/2013,15.93117731,97.72999606,128.2051282,150.8295626,9886.3668,,1.5
6/25/2013,16.05858171,97.81000465,127.9918085,150.8295626,9904.2406,,1.5
6/26/2013,16.000128,97.74500323,127.1779219,149.6893945,9936.7567,,1.5
6/27/2013,16.27100994,98.35500274,128.2380097,150.0712839,10112.8611,,1.5
6/28/2013,16.33466461,99.13499758,128.9823294,150.8068165,10127.6316,0.29,1.5
7/1/2013,16.3591153,99.66499605,130.2083333,151.6645181,10265.495,,1.5
7/2/2013,16.45765446,100.6300042,130.5994515,152.4971407,10465.52,,1.5
7/3/2013,16.34788295,99.91500231,129.9714063,152.6601023,10567.0104,,1.5
7/4/2013,16.37693145,100.0450002,129.1989664,150.7840772,10558.7493,,1.5
7/5/2013,16.1922342,101.1999992,129.8532658,150.6704837,10901.264,,1.5
7/8/2013,16.44168955,100.9650033,129.9376299,150.954789,10846.66995,,1.5
7/9/2013,16.36808551,101.1549979,129.2824822,150.3872472,10905.52055,,1.5
7/10/2013,16.37451798,99.66499605,129.3326436,149.6110114,10814.64915,,1.5
7/11/2013,16.32866334,98.95999968,129.6008294,150.2629602,10660.9608,,1.5
7/12/2013,16.35109062,99.22500311,129.6680498,149.9025633,10796.67225,,1.5
7/15/2013,16.47527884,99.86500249,130.4461258,150.795446,10894.27285,,1.5
7/16/2013,16.54560797,99.09499514,130.4291118,150.2403846,10840.993,,1.5
7/17/2013,16.63506005,99.58499943,130.701869,151.503674,10815.92685,,1.5
7/18/2013,16.78133915,100.4199966,131.6482359,152.9285824,10915.654,,1.5
7/19/2013,16.85843132,100.6499977,132.2751323,153.6688436,10877.2455,,1.5
7/22/2013,16.796419,99.66499605,131.4060447,153.0924679,10778.76975,,1.5
7/23/2013,16.92448296,99.42999765,131.4751512,152.8117359,10780.2006,,1.5
7/24/2013,16.91474966,100.2549986,132.3451562,153.5390757,10746.33345,,1.5
7/25/2013,16.81788751,99.2949956,131.8391562,152.8234125,10689.10675,,1.5
7/26/2013,16.638243,98.2749986,130.4971943,151.1601542,10532.13175,,1.5
7/29/2013,16.49566164,97.95500319,129.9207483,150.2516715,10525.26475,,1.5
7/30/2013,16.51241321,98.03499634,130.0221038,149.3763537,10480.92185,,1.5
7/31/2013,16.61129568,97.87499679,130.1913813,148.8538255,10541.1375,,1.5
8/1/2013,16.73528132,99.54499972,131.4751512,150.5117399,10904.1593,,1.5
8/2/2013,16.66069658,98.96500419,131.4578678,151.3088213,10782.23675,,1.5
8/5/2013,16.59599539,98.31000191,130.3441084,150.9889778,10686.297,,1.5
8/6/2013,16.51391297,97.74500323,130.0728408,150.0150015,10574.0541,,1.5
8/7/2013,16.32972991,96.33500227,128.48516,149.2091913,10350.2324,,1.5
8/8/2013,16.36005202,96.73500027,129.4498382,150.2742505,10319.6898,,1.5
8/9/2013,16.44277094,96.2199974,128.3861856,149.142431,10412.9284,,1.5
8/12/2013,16.50628064,96.90499967,128.882588,149.8464074,10559.73785,,1.5
8/13/2013,16.68084539,98.2049992,130.2422506,151.7220452,10784.8731,,1.5
