date,urals,jpy,ttf gas,eur,cny,krw,uah,rub
2015-03-23,68.32487309999999,0.010713,21.15,1.3889200000000002,0.2042,0.00115,0.056091371,0.0216
2015-03-24,68.00812492,0.0106,21.708,1.38687,0.2046,0.00115,0.054716263,0.022
2015-03-25,69.64945825,0.0106,21.4,1.39835,0.2052,0.001158,0.057233907,0.0222
2015-03-26,72.99437915,0.010669,22.5,1.39037,0.2056,0.001156,0.054547777,0.0223
2015-03-27,70.17543859999999,0.010717,21.8,1.40462,0.2076,0.001169,0.055082559,0.0223
2015-03-30,71.77946172,0.010835,22.175,1.4154,0.2105,0.001179,0.055395871,0.0227
2015-03-31,70.35625082,0.010882,22.373,1.4108,0.212,0.001185,0.05613251,0.0226
2015-04-02,71.60168599,0.010943,22.684,1.43301,0.2125,0.001207,0.056111697,0.0233
2015-04-08,72.01978136,0.011022,21.969,1.40295,0.2098,0.001191,0.055309735,0.0243
2015-04-09,72.49089964,0.010834,22.327,1.3856700000000002,0.2095,0.001185,0.055772231,0.025
2015-04-13,75.10870997,0.010782,22.583,1.39235,0.212,0.001196,0.05850573200000001,0.0253
2015-04-14,76.19984264,0.010968,21.899,1.39723,0.2111,0.001201,0.059664305999999986,0.0257
2015-04-15,79.52356157,0.010982,22.219,1.39125,0.2098,0.001192,0.058057797,0.0262
2015-04-16,79.55914392,0.010926,22.15,1.37908,0.2068,0.001182,0.06125849,0.0257
2015-04-17,79.9537394,0.010769,21.529,1.38847,0.2073,0.001186,0.061295297,0.0247
2015-04-20,80.34951456,0.010806,21.586,1.39,0.2087,0.001195,0.05669902900000001,0.0243
2015-04-21,78.30372196,0.010863,21.726,1.39224,0.2091,0.001197,0.057061341,0.0241
2015-04-22,79.08446164,0.010837,21.512,1.38292,0.2082,0.00119,0.057124436,0.0247
2015-04-23,81.88480329,0.010753,21.305,1.39152,0.2074,0.001189,0.057084083,0.0253
2015-04-24,82.06799591,0.01075,21.754,1.39002,0.2063,0.001187,0.055725971,0.0251
2015-04-27,80.32578264,0.010744,21.503,1.38582,0.2046,0.00119,0.055484856,0.0246
2015-04-28,78.75841436,0.010689,21.417,1.36853,0.2009,0.0011710000000000002,0.055098479000000006,0.0243
2015-04-29,80.18231768,0.010487,21.542,1.38986,0.2014,0.001167,0.060314685,0.0245
2015-04-30,82.28969007,0.01049,20.894,1.41982,0.2039,0.001174,0.059582543,0.0245
2015-05-05,84.13497859,0.010604,20.371,1.40842,0.2029,0.001165,0.060312264,0.0249
2015-05-06,83.56130004,0.010504,20.449,1.42396,0.2024,0.001161,0.059731459,0.0247
2015-05-08,81.85829551,0.010506,20.3,1.41266,0.203,0.001159,0.059757943,0.0247
2015-05-11,81.30781903,0.010526,21.009,1.41369,0.2041,0.001155,0.06006843200000001,0.0247
2015-05-13,81.07974855,0.010554,20.798,1.3995799999999998,0.1987,0.001128,0.059534081,0.025
2015-05-14,81.00482614,0.010344,20.731,1.41201,0.1996,0.001137,0.060388566,0.0247
2015-05-15,81.88946975,0.010385,20.511,1.42408,0.2005,0.001147,0.059248195,0.0251
2015-05-18,81.30396696,0.010428,20.629,1.41602,0.2017,0.001148,0.057940183,0.0254
2015-05-19,79.77258370000001,0.010431,20.468,1.40889,0.2036,0.001154,0.059886292,0.0255
2015-05-20,80.82539683,0.010469,20.526,1.40872,0.2047,0.001158,0.061333333,0.0255
2015-05-21,82.9154002,0.010465,20.435,1.40745,0.2044,0.001158,0.061043566,0.0253
2015-05-22,82.16796625,0.010465,20.392,1.40777,0.206,0.001165,0.061613192,0.0256
2015-05-26,80.73691015,0.010507,20.5,1.40575,0.2084,0.001167,0.059987072,0.0254
2015-05-27,78.92353474,0.0105,20.621,1.41071,0.2086,0.001166,0.061327468,0.0249
2015-05-28,80.40266702,0.010462,20.641,1.4314,0.2108,0.001179,0.062361093,0.0249
2015-05-29,83.93721387,0.010546,20.6,1.43671,0.2111,0.001173,0.062132112,0.025
2015-06-01,84.36760452,0.010539,20.425,1.4367299999999998,0.2121,0.001178,0.062450697,0.0245
2015-06-02,83.33762223,0.010537,20.375,1.43471,0.2076,0.0011619999999999998,0.06111683,0.0244
2015-06-03,81.25080262,0.010366,20.1,1.4479799999999998,0.2072,0.00116,0.06138435900000001,0.0236
2015-06-04,79.90374609999998,0.010338,20.25,1.46172,0.2098,0.001168,0.061784599,0.0231
2015-06-05,81.8706546,0.010458,20.3,1.4580799999999998,0.2114,0.001167,0.062311426,0.0233
2015-06-08,80.44917565,0.010452,20.7,1.46592,0.2092,0.001161,0.061404648,0.0233
2015-06-10,83.49439505,0.01043,20.6,1.4598,0.2076,0.00116,0.06107460400000001,0.0237
2015-06-11,82.75950999,0.0105,20.25,1.45168,0.2078,0.001158,0.061379755,0.0235
2015-06-15,80.40175122,0.010447,20.55,1.45304,0.2074,0.001153,0.060005151,0.0236
2015-06-16,80.28895769,0.010435,20.6,1.45096,0.2078,0.001153,0.059339525,0.024
2015-06-17,80.50070977,0.010456,20.1,1.46302,0.2078,0.001157,0.059362498,0.024
2015-06-18,80.83333333,0.010454,20.4,1.45655,0.2065,0.00116,0.060641026,0.024
2015-06-19,79.18167782,0.010427,20.325,1.4622,0.2072,0.001166,0.059315492,0.0238
2015-06-23,81.79937952,0.01049,21.35,1.44346,0.2083,0.001168,0.060108583,0.024
2015-06-24,80.81516096,0.010429,20.9,1.45441,0.2091,0.001169,0.06152648,0.0238
2015-06-25,80.43422073,0.01048,20.9,1.44779,0.2081,0.0011619999999999998,0.061514603,0.0236
2015-06-26,81.00587851,0.010452,20.45,1.4586,0.2103,0.001163,0.06231221400000001,0.0238
2015-06-29,79.16395364,0.010546,20.6,1.46317,0.2097,0.001163,0.06172678700000001,0.0234
2015-06-30,80.78370313,0.010626,20.65,1.44605,0.2093,0.001159,0.061762035,0.0235
2015-07-01,80.64094179,0.010594,20.85,1.44585,0.2109,0.0011619999999999998,0.062262917,0.0234
2015-07-07,76.25822037,0.010619,20.6,1.47769,0.2161,0.001182,0.06227352,0.0237
2015-07-08,76.22829452,0.010951,20.8,1.49091,0.2168,0.001185,0.062323328,0.0234
2015-07-09,77.44058009999998,0.011151,21.2,1.48189,0.2163,0.001186,0.061232711,0.0235
2015-07-10,77.80016116,0.011068,20.75,1.4986,0.2163,0.001187,0.061240935,0.0238
2015-07-13,76.85972729,0.010939,21.1,1.4858,0.2175,0.001188,0.060753341,0.0239
2015-07-14,77.36178207,0.01094,21.65,1.47714,0.2161,0.001174,0.060386473,0.0238
2015-07-15,76.08076975,0.010874,21.275,1.48392,0.2182,0.001181,0.060441794000000014,0.0238
2015-07-16,75.55705604,0.010946,21.225,1.46879,0.2175,0.001178,0.061174882,0.0237
2015-07-17,75.91914259,0.010879,21.1,1.46943,0.2184,0.001179,0.062135395,0.0238
2015-07-20,74.98643516,0.010928,21.375,1.46853,0.2184,0.001173,0.059549647,0.0238
2015-07-21,75.14489823,0.010915,20.9,1.47383,0.217,0.001173,0.061059442,0.0236
2015-07-22,74.27138403,0.01088,20.725,1.48154,0.2183,0.001172,0.061407076,0.0236
2015-07-23,73.64056552,0.010936,20.7,1.4934,0.2189,0.00117,0.061174551,0.0235
2015-07-24,73.27657237,0.010971,20.425,1.50784,0.2211,0.001173,0.062482834,0.0235
