Date,iron ore,gold,aud,jpy,cny,usd,krw,gbp,sgd
5/6/2013,166.71897,1922.62932,0.78420,0.00770,0.12402,0.76476,0.00070,1.18860,0.62120
5/7/2013,170.79206,1899.52054,0.77880,0.00772,0.12425,0.76461,0.00070,1.18400,0.62065
5/8/2013,172.25823,1938.48052,0.77325,0.00768,0.12381,0.76031,0.00070,1.18105,0.61935
5/9/2013,169.80037,1901.80848,0.77380,0.00762,0.12505,0.76667,0.00070,1.18440,0.62155
5/13/2013,167.88338,1856.28051,0.76710,0.00757,0.12539,0.77065,0.00069,1.17905,0.62075
5/14/2013,166.15116,1841.93934,0.76550,0.00756,0.12600,0.77399,0.00070,1.17720,0.62255
5/15/2013,164.86335,1794.64313,0.76810,0.00759,0.12626,0.77598,0.00070,1.18220,0.62270
5/16/2013,164.63195,1786.15365,0.76145,0.00759,0.12625,0.77628,0.00069,1.18540,0.61975
5/17/2013,163.65870,1746.29627,0.75765,0.00755,0.12683,0.77888,0.00070,1.18160,0.61865
5/20/2013,164.00687,1796.15222,0.76135,0.00759,0.12644,0.77619,0.00069,1.18430,0.61890
5/21/2013,164.35145,1776.32250,0.75960,0.00756,0.12628,0.77480,0.00070,1.17425,0.61495
5/22/2013,163.39945,1760.32433,0.75420,0.00754,0.12685,0.77773,0.00070,1.17040,0.61395
5/23/2013,163.91216,1799.65746,0.75380,0.00758,0.12603,0.77304,0.00068,1.16790,0.61180
5/24/2013,163.88079,1792.36939,0.74605,0.00764,0.12612,0.77331,0.00069,1.16975,0.61170
5/28/2013,162.62838,1775.22058,0.74800,0.00760,0.12707,0.77785,0.00069,1.16985,0.61210
5/29/2013,162.16363,1802.35733,0.74445,0.00764,0.12613,0.77274,0.00068,1.16930,0.61025
5/30/2013,162.68120,1844.94261,0.74035,0.00761,0.12499,0.76628,0.00068,1.16730,0.60925
6/3/2013,153.31607,1845.80784,0.74735,0.00768,0.12472,0.76476,0.00068,1.17170,0.61065
6/4/2013,154.78151,1831.07324,0.73775,0.00764,0.12474,0.76450,0.00068,1.17075,0.61045
6/5/2013,149.92622,1836.75981,0.72865,0.00771,0.12463,0.76371,0.00068,1.17655,0.61125
6/6/2013,147.36739,1872.59245,0.72425,0.00779,0.12303,0.75492,0.00067,1.17785,0.60670
6/7/2013,147.87282,1830.67816,0.71805,0.00775,0.12330,0.75626,0.00068,1.17655,0.60550
6/10/2013,148.80992,1838.61448,0.71390,0.00764,0.12299,0.75432,0.00067,1.17465,0.59960
6/11/2013,149.90020,1834.93934,0.70790,0.00782,0.12245,0.75103,0.00066,1.17540,0.59890
6/12/2013,150.10016,1851.44432,0.71090,0.00781,0.12224,0.74977,0.00066,1.17555,0.59705
6/13/2013,150.24128,1854.57639,0.72070,0.00784,0.12189,0.74766,0.00066,1.17530,0.59875
6/14/2013,153.05006,1856.16738,0.71690,0.00796,0.12221,0.74923,0.00066,1.17690,0.59870
6/17/2013,154.63346,1851.33692,0.71415,0.00792,0.12213,0.74803,0.00066,1.17635,0.59600
6/18/2013,155.47754,1832.83485,0.70830,0.00783,0.12183,0.74660,0.00066,1.16790,0.59185
6/19/2013,154.98723,1796.61815,0.69910,0.00780,0.12277,0.75219,0.00067,1.16480,0.59280
6/20/2013,152.25467,1689.51522,0.69570,0.00778,0.12344,0.75643,0.00066,1.17315,0.59395
6/21/2013,151.13757,1702.38091,0.70250,0.00778,0.12424,0.76202,0.00066,1.17505,0.59710
6/24/2013,150.86280,1682.76307,0.70505,0.00780,0.12405,0.76228,0.00066,1.17645,0.59755
6/25/2013,150.25503,1671.20280,0.70790,0.00781,0.12439,0.76423,0.00066,1.17880,0.60235
6/26/2013,149.20867,1593.71052,0.71295,0.00786,0.12503,0.76852,0.00066,1.17695,0.60320
6/27/2013,149.60535,1565.67382,0.71140,0.00780,0.12474,0.76702,0.00067,1.17035,0.60555
7/1/2013,152.52227,1637.31185,0.70720,0.00768,0.12482,0.76546,0.00067,1.16480,0.60560
