Date,iron ore 62,UAHUSD,RUBUSD,EURUSD,TRYUSD,PLNUSD,CNYUSD,INRUSD
21/10/2013,135.4,0.1222,0.03127,1.3681,0.50494,0.3278,0.16412,0.016232
22/10/2013,135.4,0.1222,0.03155,1.3781,0.5083,0.3308,0.16413,0.016357
23/10/2013,135.4,0.1223,0.0315,1.3776,0.50588,0.3293,0.1644,0.016228
24/10/2013,135,0.1223,0.03155,1.3801,0.50508,0.3301,0.16444,0.016267
25/10/2013,134.5,0.1223,0.03144,1.3802,0.50403,0.3301,0.1644,0.016273
28/10/2013,134,0.1224,0.03133,1.3785,0.50407,0.3297,0.1643,0.016251
29/10/2013,133.9,0.1224,0.03116,1.3745,0.50207,0.3283,0.16422,0.016281
30/10/2013,133.6,0.122,0.03126,1.3736,0.50127,0.3285,0.16409,0.016308
31/10/2013,133.6,0.1221,0.03119,1.3584,0.50079,0.3248,0.16413,0.016094
1/11/2013,134.5,0.1223,0.03086,1.3487,0.49581,0.3212,0.16395,0.016071
4/11/2013,136,0.1219,0.03095,1.3514,0.49603,0.3232,0.16398,0.016131
5/11/2013,136.7,0.1218,0.03072,1.3474,0.49274,0.3219,0.16402,0.016077
6/11/2013,137.6,0.1221,0.0309,1.3513,0.4913,0.3238,0.16408,0.016026
7/11/2013,138.1,0.1221,0.03083,1.3419,0.49128,0.3199,0.16418,0.015916
8/11/2013,138.12,0.1219,0.0306,1.3367,0.49069,0.3199,0.16419,0.015782
11/11/2013,137.62,0.1219,0.03045,1.3407,0.48934,0.3181,0.16414,0.015743
12/11/2013,137.61,0.1217,0.03043,1.3436,0.48679,0.3195,0.16414,0.015633
13/11/2013,137.61,0.122,0.03053,1.3487,0.48926,0.3214,0.16403,0.015809
14/11/2013,137.05,0.1219,0.03062,1.3461,0.49183,0.3211,0.16408,0.015855
15/11/2013,135.99,0.1219,0.03069,1.3496,0.4927,0.3224,0.16413,0.01593
18/11/2013,135.19,0.1222,0.03068,1.3506,0.49458,0.3236,0.16414,0.016082
19/11/2013,134.62,0.1217,0.03054,1.3538,0.4972,0.3237,0.16413,0.016055
20/11/2013,134.4,0.1217,0.03039,1.3439,0.49619,0.3206,0.16419,0.01598
21/11/2013,134.4,0.1216,0.03029,1.3482,0.49599,0.3214,0.1641,0.015877
22/11/2013,134.4,0.1217,0.03053,1.3558,0.49851,0.3232,0.1641,0.016001
25/11/2013,134.84,0.1219,0.03037,1.3517,0.49822,0.322,0.16414,0.015999
26/11/2013,135.14,0.1219,0.03036,1.3572,0.49695,0.3229,0.16413,0.015999
27/11/2013,135.15,0.1215,0.03014,1.3579,0.49368,0.3229,0.16414,0.016002
28/11/2013,135.15,0.1218,0.03015,1.3606,0.49628,0.3243,0.16414,0.016066
29/11/2013,135.96,0.1216,0.03017,1.3591,0.49526,0.3232,0.16416,0.016007
2/12/2013,135.5,0.1214,0.0301,1.3542,0.49061,0.3223,0.16411,0.016048
3/12/2013,135.13,0.1217,0.03006,1.3588,0.48922,0.3233,0.16415,0.016025
4/12/2013,137.03,0.1213,0.03013,1.3593,0.48813,0.3236,0.16417,0.01621
5/12/2013,137.52,0.1217,0.03035,1.3667,0.49094,0.3262,0.16416,0.01623
6/12/2013,136.98,0.1217,0.0305,1.3706,0.49369,0.3275,0.16448,0.016352
9/12/2013,135.96,0.1224,0.03061,1.3739,0.49211,0.3281,0.16467,0.016433
10/12/2013,136,0.1212,0.03055,1.3761,0.49329,0.3293,0.16471,0.016367
11/12/2013,135.99,0.121,0.0305,1.3786,0.48939,0.3296,0.1647,0.016325
12/12/2013,135.82,0.1207,0.03047,1.3753,0.48957,0.3291,0.16469,0.016081
13/12/2013,135.59,0.1209,0.03038,1.3742,0.49044,0.3289,0.16474,0.016095
16/12/2013,135.03,0.1206,0.03038,1.3761,0.4934,0.3296,0.1647,0.0162
17/12/2013,134.01,0.1206,0.03034,1.3768,0.49121,0.3293,0.16471,0.016188
18/12/2013,133.94,0.1206,0.03042,1.3685,0.48596,0.3282,0.16462,0.016115
19/12/2013,133.1,0.1208,0.03031,1.3661,0.48246,0.3285,0.16478,0.016008
20/12/2013,132.8,0.1215,0.03026,1.3673,0.47814,0.329,0.16468,0.016125
23/12/2013,131.97,0.1214,0.03057,1.3696,0.47675,0.3292,0.16474,0.016187
24/12/2013,131.48,0.1223,0.03065,1.368,0.48161,0.3305,0.16471,0.016175
25/12/2013,131.2,0.1223,0.03058,1.3681,0.4773,0.3301,0.16474,
26/12/2013,131.16,0.1217,0.03062,1.3691,0.47007,0.3308,0.16474,0.016152
27/12/2013,131.09,0.1214,0.0307,1.3749,0.46423,0.3315,0.16483,0.016139
30/12/2013,132.19,0.1214,0.03047,1.3801,0.47098,0.3329,0.16496,0.016152
