Item,Year,production,class,area,type,lifespan,price,yield_i,eco lifespan,constant,gamma,beta,alpha
Bananas,2019,451906.74695550837,Fruit Primary,37419.59560771456,Perennial,6.0,471.5596971059776,0.0828037993674802,0.7619,1.4775924043946734e-07,0.0066422536897316475,0.02577042054531402,0.0013509362773830534
Cabbages and other brassicas,2019,182320.67094121707,Vegetables Primary,6513.595389240896,Annual,,368.27928607869205,0.035726038937959906,0.8,5.081663891103838,0.002839710029201975,0.011502973679406305,0.00014088930766170443
Cassava,2019,47714.34497578723,"Roots and Tubers, Total",2589.5970136750875,Annual,,223.00012589252748,0.05427292389718827,0.8,284.8992339846437,4.321493316516116e-08,3.735024028915422e-08,1.4143175380316643e-08
Cereals (Rice Milled Eqv),2019,2267911.1792598995,"Cereals, Total",812595.5925687944,Annual,,318.42385079437463,0.35830133031663675,0.8,0.001987345196132716,1.3419447194224205e-06,0.011127306605191636,4.320552572277093e-05
"Chillies and peppers, green",2019,42697.157918263016,Vegetables Primary,3469.196580807127,Annual,,1464.2315782066657,0.0812512295888255,0.8,1035.7086425867562,0.01757105733617474,0.0070643248709759765,9.625527915760374e-09
"Cocoa, beans",2019,1805.9997798951633,stimulant,21599.997367516902,Annual,,1518.6372429942046,11.960132890365449,0.8,705.4388994711712,0.11980808648112415,-1.2139759647537153e-08,-1.0307794008680998e-08
Coconuts,2019,622983.5624643781,"Oilcrops, Oil Equivalent",85622.3948411322,Perennial,70.0,295.90202151575204,0.13743925201241253,0.9796,0.0006602655391586947,0.02782428726444178,1.2316494451506827e-08,2.8201595519240104e-08
Cucumbers and gherkins,2019,107275.10603533332,Vegetables Primary,5498.395183832579,Annual,,308.9837587585943,0.05125508971318627,0.8,166.22483946655962,0.015133662343010813,1.634150404204424e-07,2.100576073161531e-09
Ginger,2019,11933.96016271514,spice,1190.3960262859148,Annual,,1929.2530171628098,0.09974861739567624,0.8,0.0096566813169251,0.00020003396941839675,0.05977776316267956,1.0519745505094401e-07
Grapefruit (inc. pomelos),2019,15352.745539246192,Fruit Primary,1004.3964371071646,Perennial,50.0,641.0197096703362,0.06542129123026419,0.9714,11.436837611149318,0.003182554077728488,0.031263403500663416,0.03720816717256728
Lemons and limes,2019,8396.366802922068,Fruit Primary,1237.1951084482853,Perennial,50.0,739.907305540065,0.1473488637987709,0.9714,5.0130500510485945,0.08952707223765867,9.68994647153527e-07,0.018605709180711458
Lettuce and chicory,2019,68653.1323714551,Vegetables Primary,3517.1965352945217,Annual,,846.5413291849304,0.05123140654769188,0.8,218.41581513200146,5.844932375604774e-06,0.025102616503896343,0.0030379289060933306
Maize,2019,91634.3675786914,"Cereals, Total",12284.395653637464,Annual,,184.66753669202512,0.13405882507006106,0.8,75.46003640087406,0.010176731485581784,8.536979215952399e-07,1.1068385568795221e-07
"Mangoes, mangosteens, guavas",2019,80504.37079912922,Fruit Primary,12773.995366564768,Perennial,300.0,1539.135785965185,0.15867455691862806,0.9952,-5.453422700810914e-09,-4.1375158952859415e-09,0.04167946149358704,0.0025830487546855763
Oil palm fruit,2019,93901293.38429418,"Oilcrops, Oil Equivalent",4995232.926823739,Perennial,30.0,105.91176910791293,0.05319663602907557,0.9524,178.6785668519915,0.015621424444518925,1.5001406584727444e-08,2.04633913640054e-06
Oilseeds nes,2019,243309.59395136448,"Oilcrops, Oil Equivalent",188800.79530644405,Annual,,6093.13251765217,0.7759693822191973,0.8,18548.08536055455,0.010495734048645749,0.0007850758585768398,0.07754978969801597
Okra,2019,61508.342531471324,Vegetables Primary,3862.7963909086793,Annual,,877.0574339924931,0.0628011783756365,0.8,25.81426809649961,0.06410322892582927,0.014089847348207726,0.005538105300982748
Oranges,2019,16124.362333287541,Fruit Primary,2000.3953270514498,Perennial,50.0,374.36025398315434,0.12406043015554068,0.9714,0.002341882933738424,0.04759881434460983,1.7579187987519577e-08,4.742113051105619e-08
Papayas,2019,60622.730092441525,Fruit Primary,3448.7960229948526,Perennial,5.0,362.6177399619028,0.05688948712365645,0.7143,0.24035847219470824,0.019981695498761186,0.004934608258056912,0.0002290699875014984
Pepper (piper spp.),2019,36548.39306628454,spice,20009.99620383802,Annual,,5524.709048713003,0.5474931871162623,0.8,19174.484714066337,1.48392337980803e-06,1.3049976104015312e-05,0.4882468743433912
Pineapples,2019,395237.8630774801,Fruit Primary,12667.195611694871,Perennial,7.0,360.57992325469223,0.032049549891457814,0.7959,4.09547136063259,0.026308780143381123,0.004322754298282098,0.0002000215044559888
"Pumpkins, squash and gourds",2019,35481.55174012174,Vegetables Primary,2283.5968939884897,Annual,,334.1786517162297,0.06436011904761904,0.8,245.52573260861217,0.007813270275751892,1.8478048929440495e-07,6.965075806266524e-09
"Rice, paddy",2019,3262784.370198072,"Cereals, Total",800311.1926900418,Annual,,363.9806270595695,0.2452847328802969,0.8,2.382524503379601e-07,1.2207150148941924e-08,0.01877159509645604,0.00010787808718958384
"Rubber, natural",2019,938395.194747595,tobacco,1324655.992585608,Perennial,32.0,1337.5910110954972,1.4116184737517838,0.9554,0.0004869510671906789,0.17627607059488273,3.538065072618974e-09,-1.3866574659630312e-09
Spinach,2019,69743.93932176496,Vegetables Primary,5389.195311322203,Annual,,474.479571014367,0.07727116311080523,0.8,1.434881969414173,0.02985587810532678,0.008064269373876842,0.002287435784800093
Sugar cane,2019,35319.42673971392,sugar,973.195225967723,Perennial,15.0,245.51395612302778,0.02755410593551456,0.9048,0.0002802732158983135,0.023488122329431104,7.222272810149916e-09,1.1083602062240212e-08
Sweet potatoes,2019,46396.746522391084,"Roots and Tubers, Total",2732.396850597054,Annual,,401.48333193238216,0.05889199255121042,0.8,3.603685012975389e-07,0.030546509519943792,0.0026792121035462235,0.0007114090254676242
"Tobacco, unmanufactured",2019,2547.5974010058617,tobacco,3334.7965979252426,Annual,,3945.785492030747,1.3089967027790863,0.8,1597.513293988024,0.2609586448743896,2.578109896401012e-07,0.16547911430158946
Tomatoes,2019,131163.4169515169,Vegetables Primary,2276.396823115812,Annual,,633.08226469097,0.017355424828229785,0.8,-1.5684319280144374e-08,0.060972796177440676,-1.1066421462337259e-08,0.00020453841180799237
Watermelons,2019,222347.92542939386,Vegetables Primary,12956.395654709728,Annual,,296.04415270484776,0.0582708187166064,0.8,36.80612043021051,0.025112082291921238,4.2861419032304196e-08,-3.3910334787244814e-08
Bananas,2020,542286.7807502913,Fruit Primary,44903.405792883845,Perennial,6.0,606.6930472597131,0.0828037993674802,0.7619,1.4775924043946734e-07,0.0066422536897316475,0.02577042054531402,0.0013509362773830534
Cabbages and other brassicas,2020,218783.7209908257,Vegetables Primary,7816.275735109995,Annual,,379.1916791012727,0.035726038937959906,0.8,5.081663891103838,0.002839710029201975,0.011502973679406305,0.00014088930766170443
Cassava,2020,57255.93878235474,"Roots and Tubers, Total",3107.447208196809,Annual,,223.00029141250084,0.05427292389718827,0.8,284.8992339846437,4.321493316516116e-08,3.735024028915422e-08,1.4143175380316643e-08
Cereals (Rice Milled Eqv),2020,2443392.051855348,"Cereals, Total",875470.6226648679,Annual,,330.6374905442997,0.35830133031663675,0.8,0.001987345196132716,1.3419447194224205e-06,0.011127306605191636,4.320552572277093e-05
"Chillies and peppers, green",2020,51236.334645512776,Vegetables Primary,4163.015189572453,Annual,,1473.2813284940064,0.0812512295888255,0.8,1035.7086425867562,0.01757105733617474,0.0070643248709759765,9.625527915760374e-09
"Cocoa, beans",2020,1445.9345061275699,stimulant,17293.56884405067,Annual,,1560.293722588964,11.960132890365449,0.8,705.4388994711712,0.11980808648112415,-1.2139759647537153e-08,-1.0307794008680998e-08
Coconuts,2020,747578.4462348856,"Oilcrops, Oil Equivalent",102746.62247112422,Perennial,70.0,305.5798614582143,0.13743925201241253,0.9796,0.0006602655391586947,0.02782428726444178,1.2316494451506827e-08,2.8201595519240104e-08
Cucumbers and gherkins,2020,128728.87118266294,Vegetables Primary,6598.009841144588,Annual,,314.2457463552884,0.05125508971318627,0.8,166.22483946655962,0.015133662343010813,1.634150404204424e-07,2.100576073161531e-09
Ginger,2020,14320.564261157195,spice,1428.456485376364,Annual,,1954.2036388575264,0.09974861739567624,0.8,0.0096566813169251,0.00020003396941839675,0.05977776316267956,1.0519745505094401e-07
Grapefruit (inc. pomelos),2020,18422.549468943704,Fruit Primary,1205.226974011715,Perennial,50.0,769.3605568533475,0.06542129123026419,0.9714,11.436837611149318,0.003182554077728488,0.031263403500663416,0.03720816717256728
Lemons and limes,2020,10075.290748500356,Fruit Primary,1484.5826442337955,Perennial,50.0,802.2732516632743,0.1473488637987709,0.9714,5.0130500510485945,0.08952707223765867,9.68994647153527e-07,0.018605709180711458
Lettuce and chicory,2020,82383.29143351287,Vegetables Primary,4220.61189616728,Annual,,898.7028697757102,0.05123140654769188,0.8,218.41581513200146,5.844932375604774e-06,0.025102616503896343,0.0030379289060933306
Maize,2020,109959.13695055201,"Cereals, Total",14740.99270530894,Annual,,188.20830264711907,0.13405882507006106,0.8,75.46003640087406,0.010176731485581784,8.536979215952399e-07,1.1068385568795221e-07
"Mangoes, mangosteens, guavas",2020,96604.99771798092,Fruit Primary,15328.755209025698,Perennial,300.0,1598.0723976607787,0.15867455691862806,0.9952,-5.453422700810914e-09,-4.1375158952859415e-09,0.04167946149358704,0.0025830487546855763
Oil palm fruit,2020,89431591.84819624,"Oilcrops, Oil Equivalent",4757459.841049337,Perennial,30.0,102.19671634843945,0.05319663602907557,0.9524,178.6785668519915,0.015621424444518925,1.5001406584727444e-08,2.04633913640054e-06
Oilseeds nes,2020,291971.276955907,"Oilcrops, Oil Equivalent",226560.77140522533,Annual,,9870.811864306837,0.7759693822191973,0.8,18548.08536055455,0.010495734048645749,0.0007850758585768398,0.07754978969801597
Okra,2020,73809.55644562456,Vegetables Primary,4635.327120168278,Annual,,973.3356260381536,0.0628011783756365,0.8,25.81426809649961,0.06410322892582927,0.014089847348207726,0.005538105300982748
Oranges,2020,19348.85641785374,Fruit Primary,2400.427450216729,Perennial,50.0,390.9102078046001,0.12406043015554068,0.9714,0.002341882933738424,0.04759881434460983,1.7579187987519577e-08,4.742113051105619e-08
Papayas,2020,72746.2177456652,Fruit Primary,4138.495017736728,Perennial,5.0,374.3962632912153,0.05688948712365645,0.7143,0.24035847219470824,0.019981695498761186,0.004934608258056912,0.0002290699875014984
Pepper (piper spp.),2020,43857.84829735077,spice,24011.87314437811,Annual,,9093.533666071558,0.5474931871162623,0.8,19174.484714066337,1.48392337980803e-06,1.3049976104015312e-05,0.4882468743433912
Pineapples,2020,474284.1814959083,Fruit Primary,15200.594537582347,Perennial,7.0,387.3375014438976,0.032049549891457814,0.7959,4.09547136063259,0.026308780143381123,0.004322754298282098,0.0002000215044559888
"Pumpkins, squash and gourds",2020,42577.057771470296,Vegetables Primary,2740.264506869182,Annual,,336.895400553967,0.06436011904761904,0.8,245.52573260861217,0.007813270275751892,1.8478048929440495e-07,6.965075806266524e-09
"Rice, paddy",2020,2901518.9340197267,"Cereals, Total",711698.2966781524,Annual,,332.8211579355216,0.2452847328802969,0.8,2.382524503379601e-07,1.2207150148941924e-08,0.01877159509645604,0.00010787808718958384
"Rubber, natural",2020,1126073.7633523045,tobacco,1589586.5271553074,Perennial,32.0,1398.8807786460043,1.4116184737517838,0.9554,0.0004869510671906789,0.17627607059488273,3.538065072618974e-09,-1.3866574659630312e-09
Spinach,2020,83691.87716940971,Vegetables Primary,6466.968691806934,Annual,,520.1218012669976,0.07727116311080523,0.8,1.434881969414173,0.02985587810532678,0.008064269373876842,0.002287435784800093
Sugar cane,2020,42381.8144664602,sugar,1167.793005548168,Perennial,15.0,253.68070251812762,0.02755410593551456,0.9048,0.0002802732158983135,0.023488122329431104,7.222272810149916e-09,1.1083602062240212e-08
Sweet potatoes,2020,55675.21591684725,"Roots and Tubers, Total",3278.824401062,Annual,,419.82008557540723,0.05889199255121042,0.8,3.603685012975389e-07,0.030546509519943792,0.0026792121035462235,0.0007114090254676242
"Tobacco, unmanufactured",2020,3057.043447183243,tobacco,4001.659792615277,Annual,,4120.821878339001,1.3089967027790863,0.8,1597.513293988024,0.2609586448743896,2.578109896401012e-07,0.16547911430158946
Tomatoes,2020,157395.4898929091,Vegetables Primary,2731.6655931387845,Annual,,659.6475654331871,0.017355424828229785,0.8,-1.5684319280144374e-08,0.060972796177440676,-1.1066421462337259e-08,0.00020453841180799237
Watermelons,2020,266816.1720087724,Vegetables Primary,15547.596789782046,Annual,,304.7739678847423,0.0582708187166064,0.8,36.80612043021051,0.025112082291921238,4.2861419032304196e-08,-3.3910334787244814e-08
Bananas,2021,650743.3435148337,Fruit Primary,53884.02125612554,Perennial,6.0,768.349443648161,0.0828037993674802,0.7619,1.4775924043946734e-07,0.0066422536897316475,0.02577042054531402,0.0013509362773830534
Cabbages and other brassicas,2021,262539.6509653518,Vegetables Primary,9379.50179314656,Annual,,392.02763111739466,0.035726038937959906,0.8,5.081663891103838,0.002839710029201975,0.011502973679406305,0.00014088930766170443
Cassava,2021,68706.31732560173,"Roots and Tubers, Total",3728.8927314684506,Annual,,223.00049839515452,0.05427292389718827,0.8,284.8992339846437,4.321493316516116e-08,3.735024028915422e-08,1.4143175380316643e-08
Cereals (Rice Milled Eqv),2021,2540853.4618247277,"Cereals, Total",910391.1755114318,Annual,,339.4136503305741,0.35830133031663675,0.8,0.001987345196132716,1.3419447194224205e-06,0.011127306605191636,4.320552572277093e-05
"Chillies and peppers, green",2021,61483.40585831059,Vegetables Primary,4995.602325296532,Annual,,1488.2620419567597,0.0812512295888255,0.8,1035.7086425867562,0.01757105733617474,0.0070643248709759765,9.625527915760374e-09
"Cocoa, beans",2021,1157.302555128252,stimulant,13841.492353693378,Annual,,1642.6806138714219,11.960132890365449,0.8,705.4388994711712,0.11980808648112415,-1.2139759647537153e-08,-1.0307794008680998e-08
Coconuts,2021,897092.8144094899,"Oilcrops, Oil Equivalent",123295.7653981503,Perennial,70.0,324.717654526376,0.13743925201241253,0.9796,0.0006602655391586947,0.02782428726444178,1.2316494451506827e-08,2.8201595519240104e-08
Cucumbers and gherkins,2021,154473.73037201204,Vegetables Primary,7917.564908548024,Annual,,324.65263933889645,0.05125508971318627,0.8,166.22483946655962,0.015133662343010813,1.634150404204424e-07,2.100576073161531e-09
