Item,Year,production,class,area,type,lifespan,price,yield_i,eco lifespan
Bananas,2012,289034.0,Fruit Primary,29193.0,Perennial,6.0,372.3,0.10100195824712664,0.7619
Cabbages and other brassicas,2012,94886.0,Vegetables Primary,3528.0,Annual,,372.3,0.03718145985709167,0.8
Cassava,2012,77854.0,"Roots and Tubers, Total",2825.0,Annual,,291.4,0.0362858684203766,0.8
Cereals (Rice Milled Eqv),2012,1817389.0,"Cereals, Total",693867.0,Annual,,218.55,0.3817933309819747,0.8
"Chillies and peppers, green",2012,40097.0,Vegetables Primary,2856.0,Annual,,1392.1,0.07122727386088734,0.8
"Cocoa, beans",2012,3645.0,stimulant,11748.0,Annual,,2107.9,3.223045267489712,0.8
Coconuts,2012,624152.0,"Oilcrops, Oil Equivalent",100996.0,Perennial,70.0,372.3,0.16181314807931402,0.9796
Cucumbers and gherkins,2012,93114.0,Vegetables Primary,4607.0,Annual,,323.8,0.049476985200936484,0.8
Ginger,2012,8727.0,spice,903.0,Annual,,1699.7,0.10347198349948436,0.8
Grapefruit (inc. pomelos),2012,11357.0,Fruit Primary,1123.0,Perennial,50.0,615.1,0.09888174694021308,0.9714
Lemons and limes,2012,6086.0,Fruit Primary,967.0,Perennial,50.0,906.5,0.1588892540256326,0.9714
Lettuce and chicory,2012,39817.0,Vegetables Primary,2069.0,Annual,,841.8,0.05196272948740488,0.8
Maize,2012,83601.0,"Cereals, Total",9322.0,Annual,,194.3,0.1115058432315403,0.8
"Mangoes, mangosteens, guavas",2012,78676.0,Fruit Primary,12862.0,Perennial,300.0,841.8,0.16348060399613606,0.9952
Oil palm fruit,2012,94917736.0,"Oilcrops, Oil Equivalent",5076929.0,Perennial,30.0,199.1,0.053487674842981926,0.9524
Oilseeds nes,2012,180000.0,"Oilcrops, Oil Equivalent",145000.0,Annual,,4229.8,0.8055555555555556,0.8
Okra,2012,27660.0,Vegetables Primary,2157.0,Annual,,971.3,0.0779826464208243,0.8
