Area Code,Area,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Value,Flag,Note
131,Malaysia,3010,Population - Est. & Proj.,511,Total Population - Both sexes,2012,2012,1000 persons,29068.189,X,
131,Malaysia,3010,Population - Est. & Proj.,511,Total Population - Both sexes,2013,2013,1000 persons,29468.923,X,
131,Malaysia,3010,Population - Est. & Proj.,511,Total Population - Both sexes,2014,2014,1000 persons,29866.603,X,
131,Malaysia,3010,Population - Est. & Proj.,511,Total Population - Both sexes,2015,2015,1000 persons,30270.962,X,
131,Malaysia,3010,Population - Est. & Proj.,511,Total Population - Both sexes,2016,2016,1000 persons,30684.654,X,
131,Malaysia,3010,Population - Est. & Proj.,511,Total Population - Both sexes,2017,2017,1000 persons,31104.646,X,
131,Malaysia,3010,Population - Est. & Proj.,511,Total Population - Both sexes,2018,2018,1000 persons,31528.033,X,
131,Malaysia,3010,Population - Est. & Proj.,511,Total Population - Both sexes,2019,2019,1000 persons,31949.777,X,
131,Malaysia,3010,Population - Est. & Proj.,511,Total Population - Both sexes,2020,2020,1000 persons,32365.999,X,
131,Malaysia,3010,Population - Est. & Proj.,511,Total Population - Both sexes,2021,2021,1000 persons,32776.194,X,
131,Malaysia,3010,Population - Est. & Proj.,511,Total Population - Both sexes,2022,2022,1000 persons,33181.072,X,
131,Malaysia,3010,Population - Est. & Proj.,511,Total Population - Both sexes,2023,2023,1000 persons,33579.265,X,
131,Malaysia,3010,Population - Est. & Proj.,511,Total Population - Both sexes,2024,2024,1000 persons,33969.29,X,
131,Malaysia,3010,Population - Est. & Proj.,511,Total Population - Both sexes,2025,2025,1000 persons,34349.936,X,
131,Malaysia,3010,Population - Est. & Proj.,511,Total Population - Both sexes,2026,2026,1000 persons,34720.347,X,
131,Malaysia,3010,Population - Est. & Proj.,511,Total Population - Both sexes,2027,2027,1000 persons,35080.112,X,
131,Malaysia,3010,Population - Est. & Proj.,511,Total Population - Both sexes,2028,2028,1000 persons,35429.087,X,
131,Malaysia,3010,Population - Est. & Proj.,511,Total Population - Both sexes,2029,2029,1000 persons,35767.388,X,
131,Malaysia,3010,Population - Est. & Proj.,511,Total Population - Both sexes,2030,2030,1000 persons,36095.054,X,
131,Malaysia,3010,Population - Est. & Proj.,511,Total Population - Both sexes,2031,2031,1000 persons,36411.996,X,
131,Malaysia,3010,Population - Est. & Proj.,511,Total Population - Both sexes,2032,2032,1000 persons,36717.9,X,
131,Malaysia,3010,Population - Est. & Proj.,511,Total Population - Both sexes,2033,2033,1000 persons,37012.445,X,
131,Malaysia,3010,Population - Est. & Proj.,511,Total Population - Both sexes,2034,2034,1000 persons,37295.251,X,
131,Malaysia,3010,Population - Est. & Proj.,511,Total Population - Both sexes,2035,2035,1000 persons,37566.148,X,
131,Malaysia,3010,Population - Est. & Proj.,511,Total Population - Both sexes,2036,2036,1000 persons,37825.112,X,
131,Malaysia,3010,Population - Est. & Proj.,511,Total Population - Both sexes,2037,2037,1000 persons,38072.527,X,
131,Malaysia,3010,Population - Est. & Proj.,511,Total Population - Both sexes,2038,2038,1000 persons,38309.22,X,
131,Malaysia,3010,Population - Est. & Proj.,511,Total Population - Both sexes,2039,2039,1000 persons,38536.264,X,
131,Malaysia,3010,Population - Est. & Proj.,511,Total Population - Both sexes,2040,2040,1000 persons,38754.574,X,
131,Malaysia,3010,Population - Est. & Proj.,511,Total Population - Both sexes,2041,2041,1000 persons,38964.542,X,
131,Malaysia,3010,Population - Est. & Proj.,511,Total Population - Both sexes,2042,2042,1000 persons,39166.396,X,
131,Malaysia,3010,Population - Est. & Proj.,511,Total Population - Both sexes,2043,2043,1000 persons,39360.773,X,
131,Malaysia,3010,Population - Est. & Proj.,511,Total Population - Both sexes,2044,2044,1000 persons,39548.354,X,
131,Malaysia,3010,Population - Est. & Proj.,511,Total Population - Both sexes,2045,2045,1000 persons,39729.699,X,
131,Malaysia,3010,Population - Est. & Proj.,511,Total Population - Both sexes,2046,2046,1000 persons,39905.062,X,
131,Malaysia,3010,Population - Est. & Proj.,511,Total Population - Both sexes,2047,2047,1000 persons,40074.631,X,
131,Malaysia,3010,Population - Est. & Proj.,511,Total Population - Both sexes,2048,2048,1000 persons,40238.61,X,
131,Malaysia,3010,Population - Est. & Proj.,511,Total Population - Both sexes,2049,2049,1000 persons,40397.168,X,
131,Malaysia,3010,Population - Est. & Proj.,511,Total Population - Both sexes,2050,2050,1000 persons,40550.365,X,
131,Malaysia,3010,Population - Est. & Proj.,511,Total Population - Both sexes,2051,2051,1000 persons,40698.294,X,
131,Malaysia,3010,Population - Est. & Proj.,511,Total Population - Both sexes,2052,2052,1000 persons,40840.8,X,
131,Malaysia,3010,Population - Est. & Proj.,511,Total Population - Both sexes,2053,2053,1000 persons,40977.445,X,
131,Malaysia,3010,Population - Est. & Proj.,511,Total Population - Both sexes,2054,2054,1000 persons,41107.613,X,
131,Malaysia,3010,Population - Est. & Proj.,511,Total Population - Both sexes,2055,2055,1000 persons,41230.759,X,
131,Malaysia,3010,Population - Est. & Proj.,511,Total Population - Both sexes,2056,2056,1000 persons,41346.675,X,
131,Malaysia,3010,Population - Est. & Proj.,511,Total Population - Both sexes,2057,2057,1000 persons,41455.194,X,
131,Malaysia,3010,Population - Est. & Proj.,511,Total Population - Both sexes,2058,2058,1000 persons,41555.888,X,
131,Malaysia,3010,Population - Est. & Proj.,511,Total Population - Both sexes,2059,2059,1000 persons,41648.244,X,
131,Malaysia,3010,Population - Est. & Proj.,511,Total Population - Both sexes,2060,2060,1000 persons,41731.877,X,
131,Malaysia,3010,Population - Est. & Proj.,511,Total Population - Both sexes,2061,2061,1000 persons,41806.614,X,
131,Malaysia,3010,Population - Est. & Proj.,511,Total Population - Both sexes,2062,2062,1000 persons,41872.362,X,
131,Malaysia,3010,Population - Est. & Proj.,511,Total Population - Both sexes,2063,2063,1000 persons,41928.871,X,
131,Malaysia,3010,Population - Est. & Proj.,511,Total Population - Both sexes,2064,2064,1000 persons,41975.9,X,
131,Malaysia,3010,Population - Est. & Proj.,511,Total Population - Both sexes,2065,2065,1000 persons,42013.361,X,
131,Malaysia,3010,Population - Est. & Proj.,511,Total Population - Both sexes,2066,2066,1000 persons,42041.225,X,
131,Malaysia,3010,Population - Est. & Proj.,511,Total Population - Both sexes,2067,2067,1000 persons,42059.669,X,
131,Malaysia,3010,Population - Est. & Proj.,511,Total Population - Both sexes,2068,2068,1000 persons,42068.988,X,
131,Malaysia,3010,Population - Est. & Proj.,511,Total Population - Both sexes,2069,2069,1000 persons,42069.605,X,
131,Malaysia,3010,Population - Est. & Proj.,511,Total Population - Both sexes,2070,2070,1000 persons,42061.944,X,
131,Malaysia,3010,Population - Est. & Proj.,511,Total Population - Both sexes,2071,2071,1000 persons,42046.292,X,
131,Malaysia,3010,Population - Est. & Proj.,511,Total Population - Both sexes,2072,2072,1000 persons,42022.971,X,
131,Malaysia,3010,Population - Est. & Proj.,511,Total Population - Both sexes,2073,2073,1000 persons,41992.517,X,
131,Malaysia,3010,Population - Est. & Proj.,511,Total Population - Both sexes,2074,2074,1000 persons,41955.499,X,
131,Malaysia,3010,Population - Est. & Proj.,511,Total Population - Both sexes,2075,2075,1000 persons,41912.491,X,
131,Malaysia,3010,Population - Est. & Proj.,511,Total Population - Both sexes,2076,2076,1000 persons,41863.892,X,
131,Malaysia,3010,Population - Est. & Proj.,511,Total Population - Both sexes,2077,2077,1000 persons,41810.176,X,
131,Malaysia,3010,Population - Est. & Proj.,511,Total Population - Both sexes,2078,2078,1000 persons,41752.0,X,
131,Malaysia,3010,Population - Est. & Proj.,511,Total Population - Both sexes,2079,2079,1000 persons,41690.087,X,
131,Malaysia,3010,Population - Est. & Proj.,511,Total Population - Both sexes,2080,2080,1000 persons,41625.092,X,
131,Malaysia,3010,Population - Est. & Proj.,511,Total Population - Both sexes,2081,2081,1000 persons,41557.426,X,
131,Malaysia,3010,Population - Est. & Proj.,511,Total Population - Both sexes,2082,2082,1000 persons,41487.446,X,
131,Malaysia,3010,Population - Est. & Proj.,511,Total Population - Both sexes,2083,2083,1000 persons,41415.604,X,
131,Malaysia,3010,Population - Est. & Proj.,511,Total Population - Both sexes,2084,2084,1000 persons,41342.328,X,
131,Malaysia,3010,Population - Est. & Proj.,511,Total Population - Both sexes,2085,2085,1000 persons,41267.997,X,
131,Malaysia,3010,Population - Est. & Proj.,511,Total Population - Both sexes,2086,2086,1000 persons,41192.896,X,
131,Malaysia,3010,Population - Est. & Proj.,511,Total Population - Both sexes,2087,2087,1000 persons,41117.199,X,
131,Malaysia,3010,Population - Est. & Proj.,511,Total Population - Both sexes,2088,2088,1000 persons,41040.987,X,
131,Malaysia,3010,Population - Est. & Proj.,511,Total Population - Both sexes,2089,2089,1000 persons,40964.235,X,
131,Malaysia,3010,Population - Est. & Proj.,511,Total Population - Both sexes,2090,2090,1000 persons,40886.939,X,
131,Malaysia,3010,Population - Est. & Proj.,511,Total Population - Both sexes,2091,2091,1000 persons,40809.104,X,
131,Malaysia,3010,Population - Est. & Proj.,511,Total Population - Both sexes,2092,2092,1000 persons,40730.761,X,
131,Malaysia,3010,Population - Est. & Proj.,511,Total Population - Both sexes,2093,2093,1000 persons,40651.951,X,
131,Malaysia,3010,Population - Est. & Proj.,511,Total Population - Both sexes,2094,2094,1000 persons,40572.639,X,
131,Malaysia,3010,Population - Est. & Proj.,511,Total Population - Both sexes,2095,2095,1000 persons,40492.785,X,
131,Malaysia,3010,Population - Est. & Proj.,511,Total Population - Both sexes,2096,2096,1000 persons,40412.247,X,
131,Malaysia,3010,Population - Est. & Proj.,511,Total Population - Both sexes,2097,2097,1000 persons,40330.825,X,
131,Malaysia,3010,Population - Est. & Proj.,511,Total Population - Both sexes,2098,2098,1000 persons,40248.246,X,
131,Malaysia,3010,Population - Est. & Proj.,511,Total Population - Both sexes,2099,2099,1000 persons,40164.17,X,
131,Malaysia,3010,Population - Est. & Proj.,511,Total Population - Both sexes,2100,2100,1000 persons,40078.168,X,
