Area Code,Area,Item Code,Item,Element Code,Element,Year Code,Year,Months Code,Months,Unit,Value,Flag
131,Malaysia,486,Bananas,5532,Producer Price (USD/tonne),2012,2012,7021,Annual value,USD,372.3,
131,Malaysia,486,Bananas,5532,Producer Price (USD/tonne),2013,2013,7021,Annual value,USD,349.1,
131,Malaysia,486,Bananas,5532,Producer Price (USD/tonne),2014,2014,7021,Annual value,USD,580.5,
131,Malaysia,486,Bananas,5532,Producer Price (USD/tonne),2015,2015,7021,Annual value,USD,460.9,
131,Malaysia,486,Bananas,5532,Producer Price (USD/tonne),2016,2016,7021,Annual value,USD,433.9,
131,Malaysia,486,Bananas,5532,Producer Price (USD/tonne),2017,2017,7021,Annual value,USD,377.9,
131,Malaysia,486,Bananas,5532,Producer Price (USD/tonne),2018,2018,7021,Annual value,USD,359.3,
131,Malaysia,358,Cabbages and other brassicas,5532,Producer Price (USD/tonne),2012,2012,7021,Annual value,USD,372.3,
131,Malaysia,358,Cabbages and other brassicas,5532,Producer Price (USD/tonne),2013,2013,7021,Annual value,USD,365.0,
131,Malaysia,358,Cabbages and other brassicas,5532,Producer Price (USD/tonne),2014,2014,7021,Annual value,USD,326.9,
131,Malaysia,358,Cabbages and other brassicas,5532,Producer Price (USD/tonne),2015,2015,7021,Annual value,USD,358.5,
131,Malaysia,358,Cabbages and other brassicas,5532,Producer Price (USD/tonne),2016,2016,7021,Annual value,USD,361.6,
131,Malaysia,358,Cabbages and other brassicas,5532,Producer Price (USD/tonne),2017,2017,7021,Annual value,USD,381.4,
131,Malaysia,358,Cabbages and other brassicas,5532,Producer Price (USD/tonne),2018,2018,7021,Annual value,USD,359.3,
131,Malaysia,125,Cassava,5532,Producer Price (USD/tonne),2012,2012,7021,Annual value,USD,291.4,
131,Malaysia,125,Cassava,5532,Producer Price (USD/tonne),2013,2013,7021,Annual value,USD,301.5,
131,Malaysia,125,Cassava,5532,Producer Price (USD/tonne),2014,2014,7021,Annual value,USD,290.3,
131,Malaysia,125,Cassava,5532,Producer Price (USD/tonne),2015,2015,7021,Annual value,USD,268.9,
131,Malaysia,125,Cassava,5532,Producer Price (USD/tonne),2016,2016,7021,Annual value,USD,313.4,
131,Malaysia,125,Cassava,5532,Producer Price (USD/tonne),2017,2017,7021,Annual value,USD,305.8,
131,Malaysia,125,Cassava,5532,Producer Price (USD/tonne),2018,2018,7021,Annual value,USD,223.0,
131,Malaysia,401,"Chillies and peppers, green",5532,Producer Price (USD/tonne),2012,2012,7021,Annual value,USD,1392.1,
131,Malaysia,401,"Chillies and peppers, green",5532,Producer Price (USD/tonne),2013,2013,7021,Annual value,USD,1539.2,
131,Malaysia,401,"Chillies and peppers, green",5532,Producer Price (USD/tonne),2014,2014,7021,Annual value,USD,1399.4,
131,Malaysia,401,"Chillies and peppers, green",5532,Producer Price (USD/tonne),2015,2015,7021,Annual value,USD,1331.5,
131,Malaysia,401,"Chillies and peppers, green",5532,Producer Price (USD/tonne),2016,2016,7021,Annual value,USD,1518.7,
