Area Code,Area,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Value,Flag,COMMODITY,"DEFINITIONS, COVERAGE, REMARKS",subclass,subclass code,class,class code,type,lifespan
131,Malaysia,486,Bananas,5312,Area harvested,2012,2012,ha,29193.0,,"BANANAS
Musa sapientum; M. cavendishii; M. nana","Bananas are normally eaten raw. Trade figures may include dried
bananas. Data should be reported excluding the weight of the central
stalk.",,,Fruit Primary,1738.0,Perennial,6.0
131,Malaysia,486,Bananas,5312,Area harvested,2013,2013,ha,27085.0,,"BANANAS
Musa sapientum; M. cavendishii; M. nana","Bananas are normally eaten raw. Trade figures may include dried
bananas. Data should be reported excluding the weight of the central
stalk.",,,Fruit Primary,1738.0,Perennial,6.0
131,Malaysia,486,Bananas,5312,Area harvested,2014,2014,ha,28911.0,,"BANANAS
Musa sapientum; M. cavendishii; M. nana","Bananas are normally eaten raw. Trade figures may include dried
bananas. Data should be reported excluding the weight of the central
stalk.",,,Fruit Primary,1738.0,Perennial,6.0
131,Malaysia,486,Bananas,5312,Area harvested,2015,2015,ha,24858.0,,"BANANAS
Musa sapientum; M. cavendishii; M. nana","Bananas are normally eaten raw. Trade figures may include dried
bananas. Data should be reported excluding the weight of the central
stalk.",,,Fruit Primary,1738.0,Perennial,6.0
131,Malaysia,486,Bananas,5312,Area harvested,2016,2016,ha,22294.0,,"BANANAS
Musa sapientum; M. cavendishii; M. nana","Bananas are normally eaten raw. Trade figures may include dried
bananas. Data should be reported excluding the weight of the central
stalk.",,,Fruit Primary,1738.0,Perennial,6.0
131,Malaysia,486,Bananas,5312,Area harvested,2017,2017,ha,27565.0,,"BANANAS
Musa sapientum; M. cavendishii; M. nana","Bananas are normally eaten raw. Trade figures may include dried
bananas. Data should be reported excluding the weight of the central
stalk.",,,Fruit Primary,1738.0,Perennial,6.0
131,Malaysia,486,Bananas,5312,Area harvested,2018,2018,ha,31183.0,Im,"BANANAS
Musa sapientum; M. cavendishii; M. nana","Bananas are normally eaten raw. Trade figures may include dried
bananas. Data should be reported excluding the weight of the central
stalk.",,,Fruit Primary,1738.0,Perennial,6.0
131,Malaysia,486,Bananas,5510,Production,2012,2012,tonnes,289034.0,,"BANANAS
Musa sapientum; M. cavendishii; M. nana","Bananas are normally eaten raw. Trade figures may include dried
bananas. Data should be reported excluding the weight of the central
stalk.",,,Fruit Primary,1738.0,Perennial,6.0
131,Malaysia,486,Bananas,5510,Production,2013,2013,tonnes,288677.0,,"BANANAS
Musa sapientum; M. cavendishii; M. nana","Bananas are normally eaten raw. Trade figures may include dried
bananas. Data should be reported excluding the weight of the central
stalk.",,,Fruit Primary,1738.0,Perennial,6.0
131,Malaysia,486,Bananas,5510,Production,2014,2014,tonnes,303107.0,,"BANANAS
Musa sapientum; M. cavendishii; M. nana","Bananas are normally eaten raw. Trade figures may include dried
bananas. Data should be reported excluding the weight of the central
stalk.",,,Fruit Primary,1738.0,Perennial,6.0
131,Malaysia,486,Bananas,5510,Production,2015,2015,tonnes,315500.0,,"BANANAS
Musa sapientum; M. cavendishii; M. nana","Bananas are normally eaten raw. Trade figures may include dried
bananas. Data should be reported excluding the weight of the central
stalk.",,,Fruit Primary,1738.0,Perennial,6.0
131,Malaysia,486,Bananas,5510,Production,2016,2016,tonnes,309508.0,,"BANANAS
Musa sapientum; M. cavendishii; M. nana","Bananas are normally eaten raw. Trade figures may include dried
bananas. Data should be reported excluding the weight of the central
stalk.",,,Fruit Primary,1738.0,Perennial,6.0
131,Malaysia,486,Bananas,5510,Production,2017,2017,tonnes,350493.0,,"BANANAS
Musa sapientum; M. cavendishii; M. nana","Bananas are normally eaten raw. Trade figures may include dried
bananas. Data should be reported excluding the weight of the central
stalk.",,,Fruit Primary,1738.0,Perennial,6.0
131,Malaysia,486,Bananas,5510,Production,2018,2018,tonnes,376589.0,Im,"BANANAS
Musa sapientum; M. cavendishii; M. nana","Bananas are normally eaten raw. Trade figures may include dried
bananas. Data should be reported excluding the weight of the central
stalk.",,,Fruit Primary,1738.0,Perennial,6.0
131,Malaysia,358,Cabbages and other brassicas,5312,Area harvested,2012,2012,ha,3528.0,,"CABBAGES
Chinese, mustard cabbage, pak-choi (Brassica chinensis);
white, red, savoy cabbage, Brussels sprouts, collards, kale and
kohlrabi (Brassica oleracea all var. except botrytis)",,,,Vegetables Primary,1735.0,Annual,
131,Malaysia,358,Cabbages and other brassicas,5312,Area harvested,2013,2013,ha,4845.0,,"CABBAGES
Chinese, mustard cabbage, pak-choi (Brassica chinensis);
white, red, savoy cabbage, Brussels sprouts, collards, kale and
kohlrabi (Brassica oleracea all var. except botrytis)",,,,Vegetables Primary,1735.0,Annual,
131,Malaysia,358,Cabbages and other brassicas,5312,Area harvested,2014,2014,ha,7937.0,,"CABBAGES
Chinese, mustard cabbage, pak-choi (Brassica chinensis);
white, red, savoy cabbage, Brussels sprouts, collards, kale and
kohlrabi (Brassica oleracea all var. except botrytis)",,,,Vegetables Primary,1735.0,Annual,
131,Malaysia,358,Cabbages and other brassicas,5312,Area harvested,2015,2015,ha,8261.0,,"CABBAGES
Chinese, mustard cabbage, pak-choi (Brassica chinensis);
white, red, savoy cabbage, Brussels sprouts, collards, kale and
kohlrabi (Brassica oleracea all var. except botrytis)",,,,Vegetables Primary,1735.0,Annual,
131,Malaysia,358,Cabbages and other brassicas,5312,Area harvested,2016,2016,ha,3774.0,,"CABBAGES
Chinese, mustard cabbage, pak-choi (Brassica chinensis);
white, red, savoy cabbage, Brussels sprouts, collards, kale and
kohlrabi (Brassica oleracea all var. except botrytis)",,,,Vegetables Primary,1735.0,Annual,
131,Malaysia,358,Cabbages and other brassicas,5312,Area harvested,2017,2017,ha,3279.0,,"CABBAGES
Chinese, mustard cabbage, pak-choi (Brassica chinensis);
white, red, savoy cabbage, Brussels sprouts, collards, kale and
kohlrabi (Brassica oleracea all var. except botrytis)",,,,Vegetables Primary,1735.0,Annual,
