COMMODITY,"DEFINITIONS, COVERAGE, REMARKS",Item,Item Code,subclass,subclass code,class,class code,type,lifespan
Cereals (Rice Milled Eqv),,Cereals (Rice Milled Eqv),1817,,,"Cereals, Total",1717.0,Annual,
"WHEAT

Triticum spp.:

common (T. aestivum)

durum (T. durum)

spelt (T. spelta)","Common and durum wheat are the main types. Among common wheat, the
main varieties are spring and winter, hard and soft, and red and
white. At the national level, different varieties should be reported
separately, reflecting their different uses. Used mainly for human
food.",Wheat,15,,,"Cereals, Total",1717.0,Annual,
Flour of Wheat,"Defined broadly to include meal, groats and pellets. Strong flours
from hard wheat are used for bread, while durum wheat flour is
used primarily for pasta. Weaker flours from soft wheat are mainly
used in cakes, pastries, biscuits and certain noodles.",,16,,,"Cereals, Total",1717.0,,
Bran of Wheat,See Chapter 11.,,17,,,"Cereals, Total",1717.0,,
Bran of Wheat,"Defined broadly to include sharps and other residue from the milling,
sifting or other working of the grain. Contains a little flour.",,17,,,fodder,,,
Macaroni,"Pasta made from semolina, or flour, that is mixed with water and
kneaded into a dough. Other ingredients may be included as well. The
dough is then shaped into various forms. This heading is limited to
macaroni that is not cooked, stuffed or otherwise prepared.",,18,,,"Cereals, Total",1717.0,,
Germ of Wheat,"The seed embryo. Whole or rolled germ is used for oil extraction by
solvents. Flaked or ground germ is used in bakers' wares, dietetic
preparations, feed supplements and in pharmaceutical preparations.",,19,,,"Cereals, Total",1717.0,,
Bread,"A baked product of flour or meal of cereals, especially wheat.
Includes ordinary, unleavened, crackers, rusks, etc.",,20,,,"Cereals, Total",1717.0,,
Bulgur,"Whole wheat grains that are boiled, dried and cracked, either between
stones or in a hand mill. Very popular in the Near East.",,21,,,"Cereals, Total",1717.0,,
Pastry,"All baked products excluding those listed under bread. Pastry products
may contain ingredients other than wheat flour, such as milk, eggs,
sugar, honey, starch, fats, fruit, seeds, etc.",,22,,,"Cereals, Total",1717.0,,
Starch of Wheat,"Starch is the carbohydrate component in many plant cells. A white,
odourless powder that is insoluble in cold water, it forms a paste in
hot water. Wheat starch is used for human consumption and animal feed,
and is processed into glucose and dextrine for industrial use. It is
usually obtained from low-quality flour.",,23,,,"Cereals, Total",1717.0,,
Wheat Gluten,"A by-product of the industrial production of starch, wheat gluten is
the preferred cereal gluten for food purposes. Uses include enriching
protein in flours for bread, pasta, etc.",,24,,,"Cereals, Total",1717.0,,
Wheat-Fermented Beverages,"Low-alcohol beverages from fermented flour, e.g. Korean jakju and
takju.",,26,,,beverage,,,
Wheat-Fermented Beverages,See Chapter 15.,,26,,,"Cereals, Total",1717.0,,
"RICE PADDY
Oryza spp., mainly oryza sativa","Rice grain after threshing and winnowing.Also known as rice in the
husk and rough rice. Used mainly for human food.","Rice, paddy",27,,,"Cereals, Total",1717.0,Annual,
"Rice, Husked",Rice grain without hulls or husks. Also known as brown or cargo rice.,,28,,,"Cereals, Total",1717.0,Annual,
"Rice, Milled (Husked)","White rice milled from imported husked rice. Includes semi-milled,
whole-milled and parboiled rice.",,29,,,"Cereals, Total",1717.0,Annual,
"Rice, Milled","White rice milled from locally grown paddy. Includes semi-milled,
whole-milled and parboiled rice.",,31,,,"Cereals, Total",1717.0,Annual,
"Rice, Broken","Residues from the selection of whole-grain, milled rice.",,32,,,"Cereals, Total",1717.0,Annual,
"Rice, Gluten","A by-product of the industrial production of starch. Not suitable for
food use.",,33,,,"Cereals, Total",1717.0,Annual,
Starch of Rice,"See 0023 Rice starch is usually obtained from
broken rice. Use primarily in the photographic industry to prepare ""matt"" paper.",,34,,,"Cereals, Total",1717.0,Annual,
Bran of Rice,"A by-product of polishing brown rice, comprising the pericarp,
aleurone layer, embryo and some endosperm.",,35,,,fodder,,Annual,
Bran of Rice,See Chapter 11.,,35,,,"Cereals, Total",1717.0,Annual,
Oil of Rice Bran,"Extracted from bran by pressure or, more frequently, by solvents.",,36,,,fat,,,
Oil of Rice,See Chapter 6.,,36,,,"Cereals, Total",1717.0,,
Oil of Rice Bran,See Chapter 14.,,36,,,"Oilcrops, Oil Equivalent",1732.0,,
Cake of Rice Bran,A residue of the extraction of oil. Also known as de-oiled rice bran.,,37,,,fodder,,,
Cake of Rice Bran,See Chapter 11.,,37,,,"Cereals, Total",1717.0,,
Flour of Rice,"Produced by milling broken or milled rice. Finely ground rice flour is
widely used in infant foods and in noodles.  It is not used in bread
because it lacks the necessary gluten-forming protein.",,38,,,"Cereals, Total",1717.0,,
