Date,KO1 Comdty  (L1),OR1 Comdty  (R1),RG1 Comdty  (R1)
12/9/2011,3050,339.5,345.5
12/12/2011,2963,334.6,340
12/13/2011,2990,333.1,337
12/14/2011,3030,334.4,337
12/15/2011,2990,326.7,330.7
12/16/2011,2986,331.3,335.9
12/19/2011,3021,330.1,327.3
12/20/2011,3020,334.4,331
12/21/2011,3074,337.6,338.7
12/22/2011,3095,338,338
12/23/2011,3170,336.9,342.7
12/27/2011,3157,333.7,336
12/28/2011,3157,330.8,333.2
12/29/2011,3120,325.2,328
12/30/2011,3175,327,327.5
1/2/2012,,,
1/3/2012,3233,329.3,330.5
1/4/2012,3223,323.6,329
1/5/2012,3200,326.4,331.2
1/6/2012,3216,327.1,334.1
1/9/2012,3210,326.4,331
1/10/2012,3220,330.7,335
1/11/2012,3224,337.7,343.2
1/12/2012,3207,337,344.7
1/13/2012,3140,336.9,344.9
1/16/2012,3161,340.6,345.9
1/17/2012,3195,354.5,361.5
1/18/2012,3190,358.5,373
1/19/2012,3165,369.7,380
1/20/2012,3163,372.6,388
1/24/2012,,,
1/25/2012,3172,380.5,407
1/26/2012,3138,383.2,409.5
1/27/2012,3137,376,403
1/30/2012,3090,370.5,395
1/31/2012,3075,376,403
2/1/2012,,376.8,400
2/2/2012,3030,373.4,398
2/3/2012,3052,375.7,401.7
2/6/2012,,381.7,406
2/7/2012,,379.5,403
2/8/2012,3110,384.8,408
2/9/2012,3097,380.8,403
2/10/2012,3093,374.9,395.8
2/13/2012,3130,375.1,399
2/14/2012,3160,375.5,398
2/15/2012,3153,377.1,402.3
2/16/2012,3175,373.3,396
2/17/2012,3213,372.5,393.3
2/20/2012,3219,373.7,398.6
2/21/2012,3234,380.6,401.2
2/22/2012,3216,380.3,401.5
2/23/2012,3225,381.6,401
2/24/2012,3232,381.3,400.7
2/27/2012,3235,377.8,398.7
2/28/2012,3248,379,398.5
2/29/2012,3225,380,401
3/1/2012,3255,383,403.5
3/2/2012,3235,383.6,403.3
3/5/2012,3220,379.6,398
3/6/2012,3217,376.7,395
3/7/2012,3255,378.1,392
3/8/2012,3290,379.9,391.8
3/9/2012,3335,381.2,397.3
3/12/2012,3316,381.7,394.9
3/13/2012,3358,381.3,394.6
3/14/2012,3376,379.4,393.4
3/15/2012,3420,377.8,388.9
3/16/2012,3394,375.9,390.4
3/19/2012,3370,375,389
3/20/2012,3364,374.4,388
3/21/2012,3367,375.2,387
3/22/2012,3367,373.4,386.3
3/23/2012,3470,375.9,389
3/26/2012,3482,375.8,390
3/27/2012,3512,378.4,392.5
3/28/2012,3500,379,394
3/29/2012,3483,377.9,392
3/30/2012,3480,376,393
4/2/2012,3572,376.6,397
4/3/2012,3580,375.5,394
4/4/2012,3590,371.8,390
4/5/2012,3600,372,389.8
4/6/2012,3639,,
4/9/2012,3616,371.4,390
4/10/2012,3645,370.6,389
4/11/2012,,364.7,383.5
4/12/2012,3596,365,384
4/13/2012,3568,363.7,380
4/16/2012,3498,362.6,376
4/17/2012,3515,362.4,377
4/18/2012,3500,364.9,378.5
4/19/2012,3495,364.2,379
4/20/2012,3515,364,379.1
4/23/2012,3498,363.5,381
4/24/2012,3473,360.6,378.8
4/25/2012,3513,361,380.2
4/26/2012,3510,364,386
4/27/2012,3486,364.8,386
4/30/2012,3472,366.5,391
5/1/2012,,,
5/2/2012,3461,369.2,393.5
5/3/2012,3385,365,392.5
5/4/2012,3365,363.3,393.9
5/7/2012,3368,358,385
5/8/2012,3355,354.2,383
5/9/2012,3335,348.7,376.8
5/10/2012,3355,350.6,379
5/11/2012,3285,344.4,376.5
5/14/2012,3155,332.9,365.7
5/15/2012,3196,333.1,365.7
5/16/2012,3100,328.1,362.8
5/17/2012,3111,331.4,365.3
5/18/2012,3104,330.7,370
5/21/2012,3100,335.3,374.3
5/22/2012,3110,334.5,372
5/23/2012,3015,325,366.3
5/24/2012,3060,321.4,364.3
5/25/2012,3100,321.4,364.3
5/28/2012,3117,322,369
5/29/2012,3140,324.3,369
5/30/2012,3079,320,358
5/31/2012,3070,314.6,355
6/1/2012,2973,304.5,343
6/4/2012,2945,286.9,325
6/5/2012,2953,281.5,319
6/6/2012,2989,286.9,323.4
6/7/2012,2954,284.7,324
6/8/2012,2944,280,315
6/11/2012,2960,284.9,321.5
6/12/2012,2930,285.4,316.5
6/13/2012,2917,285,322.5
6/14/2012,2810,286.1,326.3
6/15/2012,2810,295.5,330
6/18/2012,2871,298.9,339
6/19/2012,2930,294.5,325.5
6/20/2012,3035,296.6,329
6/21/2012,2984,288.6,320
6/22/2012,2926,276.8,302.5
6/25/2012,3003,278.8,301.9
6/26/2012,3015,278.8,304.2
6/27/2012,3003,279.4,310
6/28/2012,2983,279.4,305
6/29/2012,2992,279,314
7/2/2012,3054,288.5,314
7/3/2012,3098,296,320.8
7/4/2012,3094,296,320
7/5/2012,3134,298.8,320.4
7/6/2012,3094,292.5,317.3
7/9/2012,3126,290.5,309.5
7/10/2012,3110,291.3,309.5
7/11/2012,3053,289.5,305
7/12/2012,2997,288.9,305.7
7/13/2012,3015,293,310
7/16/2012,3100,294.1,312.4
7/17/2012,3042,294.3,312.5
7/18/2012,2970,291,308.5
7/19/2012,3025,293.8,310
7/20/2012,3010,291.9,310.6
7/23/2012,2962,283.2,300
7/24/2012,2898,283.5,297
7/25/2012,2926,284.1,295.8
7/26/2012,2855,284.1,298.6
7/27/2012,2901,284,302
7/30/2012,2980,279.5,297.3
7/31/2012,2955,275.8,295.5
8/1/2012,2922,280.6,303
8/2/2012,2910,280.1,297
8/3/2012,2897,277.3,294.9
8/6/2012,2888,274.3,291
8/7/2012,2874,269.9,286.5
8/8/2012,2811,259.2,274.3
8/9/2012,2817,,
8/10/2012,2830,258,276.6
8/13/2012,2817,247.8,268.9
8/14/2012,2798,240.8,260.4
8/15/2012,2798,242.7,266.2
8/16/2012,2860,253.1,278.3
8/17/2012,2898,256,278
8/21/2012,,254.1,276.8
8/22/2012,3008,251.2,274.5
8/23/2012,3017,254.7,276
8/24/2012,3030,256.8,280.4
8/27/2012,3032,264.5,282
8/28/2012,2974,261,277.8
8/29/2012,2915,256.6,275.4
8/30/2012,2920,257.5,275.5
8/31/2012,,253.5,272
9/3/2012,2961,258.4,279.3
9/4/2012,2940,257.5,279.6
9/5/2012,2888,252.9,278.4
9/6/2012,2840,255.6,283
9/7/2012,2809,257,281
9/10/2012,2824,265.7,292.9
9/11/2012,2832,268.1,293
9/12/2012,2818,275.3,300
9/13/2012,2794,272.8,301
9/14/2012,2715,290.2,317.5
9/17/2012,,291.2,318.5
9/18/2012,2714,289.3,317
9/19/2012,2705,290.5,318
9/20/2012,2675,285.2,314.2
9/21/2012,2593,287.4,319.5
9/24/2012,2512,284.7,313
9/25/2012,2539,285.1,312
9/26/2012,2480,282.5,314.5
9/27/2012,2480,284.1,316.5
9/28/2012,2420,292,328
10/1/2012,2300,298,329.5
10/2/2012,2083,310.7,340
10/3/2012,2183,307.7,336.3
10/4/2012,2189,308,334.5
10/5/2012,2248,305.9,336
10/8/2012,2228,299,326
10/9/2012,2278,305.9,336
10/10/2012,2279,303.6,331
10/11/2012,2380,302.1,329.5
10/12/2012,2407,297.3,323
10/15/2012,2400,294.5,320.1
10/16/2012,2397,294.2,318.8
10/17/2012,2393,294.5,319
10/18/2012,2396,297.3,320.2
10/19/2012,2404,287.7,312.5
10/22/2012,2469,283.4,308.4
10/23/2012,2437,281.5,303.4
10/24/2012,2468,285.7,305
10/25/2012,2500,290.8,310.5
10/29/2012,2425,286.3,305.5
10/30/2012,2392,283.1,302
10/31/2012,2394,281.1,301.5
11/1/2012,2404,285.4,303
11/2/2012,2370,283,301
11/5/2012,2300,276.3,296
11/6/2012,2280,277.1,295.8
11/7/2012,2290,278.1,297
11/8/2012,2257,275.2,291.9
11/9/2012,2249,276.2,295
11/12/2012,2228,276.1,293
11/14/2012,2150,279.3,297.8
11/15/2012,,280.7,300
11/16/2012,2360,278.7,299.1
11/19/2012,2386,280.8,298.9
11/20/2012,2369,280.8,299
11/21/2012,2340,281.7,299.9
11/22/2012,2300,281.3,298.7
11/23/2012,2267,281.8,298
11/26/2012,2265,281.2,299.6
11/27/2012,2178,281.3,295
11/28/2012,2160,280.9,294
11/29/2012,2170,281.9,296
11/30/2012,2145,282.9,297
12/3/2012,2101,283.2,301.1
12/4/2012,2100,282.3,301
12/5/2012,2105,285.9,303.5
12/6/2012,2115,284,301
12/7/2012,2111,283.4,301.5
12/10/2012,2121,285.8,304.5
12/11/2012,2087,284.7,303.5
12/12/2012,2042,286.1,306
12/13/2012,2042,285.7,306
12/14/2012,2100,291.3,310.3
12/17/2012,2197,291.9,311
12/18/2012,2197,293.3,316
12/19/2012,2191,292.8,318
12/20/2012,2201,289,315.8
12/21/2012,2283,290.1,314
12/24/2012,2299,289,314
12/26/2012,2308,294.3,319
12/27/2012,2350,300.3,323
12/28/2012,2367,300.2,326.2
12/31/2012,2320,298.8,324
1/2/2013,2382,306.5,334
1/3/2013,2364,307.4,337.5
1/4/2013,2369,305.5,334.5
1/7/2013,2320,301.3,329
1/8/2013,2293,302.1,331
1/9/2013,2295,304,334
1/10/2013,2275,307.2,337
1/11/2013,2269,304,334.3
1/14/2013,2276,305.9,333
1/15/2013,2330,304.5,331
1/16/2013,2387,299.8,328
1/17/2013,2343,301.8,328.9
1/18/2013,2358,303.7,334.5
1/21/2013,2370,301.5,327.3
1/22/2013,2412,303,328
1/23/2013,2410,304.2,327
1/24/2013,,303,326
1/25/2013,2382,305.1,326.7
1/28/2013,,303.8,325
1/29/2013,2402,307.4,327
1/30/2013,2445,308.5,328.1
1/31/2013,2512,304.8,326.2
2/1/2013,,311.5,334
2/4/2013,2496,312.9,335
2/5/2013,2481,312,335
2/6/2013,2469,311.6,333
2/7/2013,2470,311.3,331
2/8/2013,2480,309.1,328.7
2/13/2013,2445,311.6,328
2/14/2013,2436,311,327
2/15/2013,2428,307.8,323.9
2/18/2013,2474,306.3,322
2/19/2013,2506,302.7,315.5
2/20/2013,2509,299.8,308.5
2/21/2013,2481,294.1,300.9
2/22/2013,2478,298,304.8
2/25/2013,2419,299.8,301.3
2/26/2013,2387,296.7,299
2/27/2013,2390,295.5,304
2/28/2013,2375,288,303
3/1/2013,2350,285.5,300.2
3/4/2013,2400,285.2,298.2
3/5/2013,2384,288.5,301.6
3/6/2013,2386,288.4,302.7
3/7/2013,2422,288,303
3/8/2013,2434,290.5,307.1
3/11/2013,2440,287.4,306
3/12/2013,2400,278.3,296.6
3/13/2013,2382,274.3,289.6
3/14/2013,2348,275.1,292
3/15/2013,2348,277.5,295.5
3/18/2013,2386,271.7,291
3/19/2013,2414,274.8,293
3/20/2013,2426,279.6,297
3/21/2013,2436,277.6,298.5
3/22/2013,2460,276.4,296.3
3/25/2013,2428,279,298.5
3/26/2013,2405,278.1,297
3/27/2013,2410,277.5,296.5
3/28/2013,2372,267,294.3
3/29/2013,2340,,
4/1/2013,2315,261.6,286.5
4/2/2013,2357,263.4,287.3
4/3/2013,2371,262.8,286.8
4/4/2013,2366,256.5,281.5
4/5/2013,2336,248.8,277
4/8/2013,2370,261.4,284.6
4/9/2013,2361,255,285.3
4/10/2013,2338,260.9,291
4/11/2013,2319,258.6,292.2
4/12/2013,2305,256.8,294
4/15/2013,2300,243.3,282
4/16/2013,2284,243.5,284
4/17/2013,2254,235.9,275.9
4/18/2013,2293,237.8,277.2
4/19/2013,2283,242.8,285
4/22/2013,2245,239.4,286
4/23/2013,2265,238.5,285.5
4/24/2013,2285,246,288
4/25/2013,2310,246,290.7
4/26/2013,2301,246.5,292.5
4/29/2013,2248,245.5,297
4/30/2013,2249,246,297
5/2/2013,2235,245.5,291
5/3/2013,2231,251,296
5/6/2013,2229,254.2,302
5/7/2013,2238,251.1,299.4
5/8/2013,2263,258.7,304
5/9/2013,2288,258,302
5/10/2013,2290,266.4,306
5/13/2013,2281,260.5,302.8
5/14/2013,2280,254.4,301.1
5/15/2013,2280,246,299
5/16/2013,2320,246.6,299.5
5/17/2013,2334,254.1,302.1
5/20/2013,2330,252.9,303
5/21/2013,2316,255.6,310.2
5/22/2013,2328,257.6,320
5/23/2013,2340,246.5,310
5/27/2013,2365,245.1,307
5/28/2013,2372,249.1,310
5/29/2013,2359,243,310
5/30/2013,2326,242.2,307
5/31/2013,2360,238.6,297.8
6/3/2013,2360,242,286
6/4/2013,2340,244.4,291.8
6/5/2013,2369,239,289
6/6/2013,2389,236.9,286
6/7/2013,2417,240,286.5
6/10/2013,2411,240.6,286
6/11/2013,2415,235.6,282
6/12/2013,2420,232.8,278
6/13/2013,2389,230,276
6/14/2013,2410,232.9,278
6/17/2013,2459,233.3,278
6/18/2013,2465,233,282
6/19/2013,2466,235.2,283
6/20/2013,2457,230.3,279.3
6/21/2013,2431,228.5,279.3
6/24/2013,2394,224.9,277.5
6/25/2013,2400,223.8,280
6/26/2013,2370,222.9,276
6/27/2013,2348,222.5,277
6/28/2013,2337,223,269
7/1/2013,2337,223.7,267
7/2/2013,2333,225.5,266
7/3/2013,2359,222.5,262
7/4/2013,2365,224.7,265.6
7/5/2013,2376,223.2,265
7/8/2013,2369,217.8,261.1
7/9/2013,2396,217.2,258
7/10/2013,2390,215.9,255
7/11/2013,2390,221.3,260.3
7/12/2013,2330,216.8,255
7/15/2013,2330,216.2,254.5
7/16/2013,2259,218.2,253.5
7/17/2013,2277,220.6,253
7/18/2013,2340,225.4,255
7/19/2013,2326,227.5,255
7/22/2013,2355,228.6,257
7/23/2013,2346,230.1,256.5
7/24/2013,2310,234.1,257
7/25/2013,2271,233.5,255
7/26/2013,2260,233.3,250
7/29/2013,2253,229.2,246.4
7/30/2013,2283,227.1,245
7/31/2013,2293,225.5,242.2
8/1/2013,2300,224,243.7
8/2/2013,2296,224.2,244.3
8/5/2013,2310,223,242.5
8/6/2013,2313,228.4,246.3
8/7/2013,2278,227.9,245
8/12/2013,2280,241,257.5
8/13/2013,2330,242.8,261
8/14/2013,2334,239.5,260
8/15/2013,2365,240,259
8/16/2013,2367,243.4,261.7
8/19/2013,2393,243.3,261
8/20/2013,2380,238.7,257.3
8/21/2013,2393,239,259
8/22/2013,2402,242.5,259.6
8/23/2013,2419,241.5,263
8/26/2013,2483,247,265
8/27/2013,2466,245.2,264
8/28/2013,2489,244.3,264
8/29/2013,2444,240.9,265
8/30/2013,2407,242.7,259
9/2/2013,2430,249.6,269
9/3/2013,2420,249.7,269
9/4/2013,2399,248.8,267
9/5/2013,2400,249.4,268.9
9/6/2013,2432,249.1,268.7
9/9/2013,2401,247,267.5
9/10/2013,2353,247.2,266
9/11/2013,2351,247,266
9/12/2013,2361,241,261
9/13/2013,2360,239.4,259.2
9/16/2013,,238.9,259.2
9/17/2013,2363,240,261
9/18/2013,2329,241.1,263
9/19/2013,2322,245.3,268
9/20/2013,2305,242.6,267
9/23/2013,2316,241.2,266
9/24/2013,2311,237.8,264
9/25/2013,2324,234.8,260.5
9/26/2013,2310,235,258
9/27/2013,2350,231.6,258
9/30/2013,2355,230.6,253
10/1/2013,2368,230.5,252
10/2/2013,2355,230.1,249.2
10/3/2013,2340,232.4,249
10/4/2013,2339,231.3,248.2
10/7/2013,2350,231,248.4
10/8/2013,2350,234.9,252
10/9/2013,2369,231.2,253.1
10/10/2013,2390,232.2,253
10/11/2013,2380,233.9,256
10/14/2013,2375,237.1,260
10/16/2013,2400,237.5,260.5
10/17/2013,2390,234.1,258
10/18/2013,2392,233.8,257
10/21/2013,2431,233.4,256
10/22/2013,2457,232.1,256
10/23/2013,2488,231.5,254.5
10/24/2013,2472,232.1,255
10/25/2013,2458,229.4,251
10/28/2013,2480,228.3,249.5
10/29/2013,2527,229,251.5
10/30/2013,2585,228.2,254.5
10/31/2013,2623,227.1,251.5
11/1/2013,2649,229.4,251.1
11/4/2013,2600,229.5,251
11/5/2013,,227.8,247.4
11/6/2013,2560,227.5,248
11/7/2013,2545,229.2,249.5
11/8/2013,2509,230.7,250
11/11/2013,2532,230.7,249.5
11/12/2013,2589,229,249.1
11/13/2013,2594,229.5,248.4
11/14/2013,2577,231,249
11/15/2013,2585,230.5,249
11/18/2013,2591,231,249
11/19/2013,2562,231.1,249
11/20/2013,2582,232,249.5
11/21/2013,2653,230.8,248
11/22/2013,2640,231.5,248.5
11/25/2013,2622,230,247.3
11/26/2013,2613,228.9,247
11/27/2013,2620,230,246.8
11/28/2013,2620,231.4,249
11/29/2013,2615,233.5,252
12/2/2013,2602,233.3,256
12/3/2013,2571,231.9,253.5
12/4/2013,2606,231.2,253.8
12/5/2013,2602,231,253
12/6/2013,2629,234.8,257
12/9/2013,2614,233.3,258
12/10/2013,2608,232,256.2
12/11/2013,2599,231.8,257.4
12/12/2013,2580,234,261
12/13/2013,2580,234,261.2
12/16/2013,2541,233.9,261
12/17/2013,2532,230.9,258.1
12/18/2013,2502,230.5,257.5
12/19/2013,2524,232.5,257.6
12/20/2013,2546,231,257
12/23/2013,2593,230.5,256.5
12/24/2013,2603,228.6,254
12/26/2013,2612,228.3,253.5
12/27/2013,2611,229.5,253
12/30/2013,2603,226.8,249
12/31/2013,2628,226.5,248.5
1/2/2014,2619,227,247.3
1/3/2014,2606,224,243
1/6/2014,2566,219.8,238.5
1/7/2014,2530,218.5,236
1/8/2014,2517,218.7,236.5
1/9/2014,2510,219.2,237
1/10/2014,2487,220,239
1/13/2014,2460,216.9,235
1/14/2014,,220.7,236.3
1/15/2014,2460,218.1,235.8
1/16/2014,2515,218,236.2
1/17/2014,,218,235.2
1/20/2014,2560,217.3,235.5
1/21/2014,2569,215.2,234
1/22/2014,2557,215.6,232.6
1/23/2014,2586,212.9,231.1
1/24/2014,2577,208.3,227.7
1/27/2014,2545,197.1,218
1/28/2014,2520,193.5,216
