Item,Year,production,class,area,type,lifespan,price,yield_i,eco lifespan,constant,gamma,beta,alpha
Bananas,2012,289034.0,Fruit Primary,29193.0,Perennial,6.0,372.3,0.10100195824712664,0.7619,1.4775924043946734e-07,0.0066422536897316475,0.02577042054531402,0.0013509362773830534
Cabbages and other brassicas,2012,94886.0,Vegetables Primary,3528.0,Annual,,372.3,0.03718145985709167,0.8,5.081663891103838,0.0028397100292019747,0.011502973679406303,0.00014088930766170443
Cassava,2012,77854.0,"Roots and Tubers, Total",2825.0,Annual,,291.4,0.0362858684203766,0.8,284.8992339846437,4.321493316516116e-08,3.735024028915422e-08,1.414317538031664e-08
Cereals (Rice Milled Eqv),2012,1817389.0,"Cereals, Total",693867.0,Annual,,218.55,0.3817933309819747,0.8,0.001987345196132716,1.3419447194224203e-06,0.011127306605191635,4.320552572277093e-05
"Chillies and peppers, green",2012,40097.0,Vegetables Primary,2856.0,Annual,,1392.1,0.07122727386088734,0.8,1035.7086425867562,0.017571057336174735,0.007064324870975976,9.625527915760374e-09
"Cocoa, beans",2012,3645.0,stimulant,11748.0,Annual,,2107.9,3.2230452674897117,0.8,705.4388994711713,0.11980808648112415,-1.2139759647537151e-08,-1.0307794008680998e-08
Coconuts,2012,624152.0,"Oilcrops, Oil Equivalent",100996.0,Perennial,70.0,372.3,0.16181314807931402,0.9796,0.0006602655391586947,0.02782428726444178,1.2316494451506829e-08,2.8201595519240104e-08
Cucumbers and gherkins,2012,93114.0,Vegetables Primary,4607.0,Annual,,323.8,0.049476985200936484,0.8,166.22483946655964,0.015133662343010812,1.634150404204424e-07,2.100576073161531e-09
Ginger,2012,8727.0,spice,903.0,Annual,,1699.7,0.10347198349948436,0.8,0.009656681316925098,0.00020003396941839675,0.059777763162679555,1.05197455050944e-07
Grapefruit (inc. pomelos),2012,11357.0,Fruit Primary,1123.0,Perennial,50.0,615.1,0.09888174694021308,0.9714,11.436837611149318,0.003182554077728488,0.03126340350066342,0.03720816717256728
Lemons and limes,2012,6086.0,Fruit Primary,967.0,Perennial,50.0,906.5,0.1588892540256326,0.9714,5.013050051048595,0.08952707223765867,9.689946471535268e-07,0.018605709180711458
