,DAY,DATE,HOLIDAY
0,Wed,2020-01-01,New Year's Day
1,Mon,2020-01-20,M L King Day
2,Mon,2020-02-17,Presidents' Day
3,Fri,2020-04-10,Good Friday
4,Mon,2020-05-25,Memorial Day
5,Thu,2020-11-26,Thanksgiving Day
6,Fri,2020-12-25,Christmas
7,Tue,2019-12-31,New Year's Day
8,Thu,2020-01-02,New Year's Day
9,Fri,2020-01-17,M L King Day
10,Tue,2020-01-21,M L King Day
11,Fri,2020-02-14,Presidents' Day
12,Tue,2020-02-18,Presidents' Day
13,Thu,2020-04-09,Good Friday
14,Mon,2020-04-13,Good Friday
15,Fri,2020-05-22,Memorial Day
16,Tue,2020-05-26,Memorial Day
17,Wed,2020-11-25,Thanksgiving Day
18,Fri,2020-11-27,Thanksgiving Day
19,Thu,2020-12-24,Christmas
20,Mon,2020-12-28,Christmas
21,Fri,2021-01-01,New Year's Day
22,Mon,2021-01-18,M L King Day
23,Mon,2021-02-15,Presidents' Day
24,Fri,2021-04-02,Good Friday
25,Mon,2021-05-31,Memorial Day
26,Thu,2021-11-25,Thanksgiving Day
27,Sat,2021-12-25,Christmas
28,Thu,2020-12-31,New Year's Day
29,Mon,2021-01-04,New Year's Day
30,Fri,2021-01-15,M L King Day
31,Tue,2021-01-19,M L King Day
32,Fri,2021-02-12,Presidents' Day
33,Tue,2021-02-16,Presidents' Day
34,Thu,2021-04-01,Good Friday
35,Mon,2021-04-05,Good Friday
36,Fri,2021-05-28,Memorial Day
37,Tue,2021-06-01,Memorial Day
38,Wed,2021-11-24,Thanksgiving Day
39,Fri,2021-11-26,Thanksgiving Day
40,Fri,2021-12-24,Christmas
41,Mon,2021-12-27,Christmas
42,Sat,2022-01-01,New Year's Day
43,Mon,2022-01-17,M L King Day
44,Mon,2022-02-21,Presidents' Day
45,Fri,2022-04-15,Good Friday
46,Mon,2022-05-30,Memorial Day
47,Thu,2022-11-24,Thanksgiving Day
48,Sun,2022-12-25,Christmas
49,Fri,2021-12-31,New Year's Day
50,Mon,2022-01-03,New Year's Day
51,Fri,2022-01-14,M L King Day
52,Tue,2022-01-18,M L King Day
53,Fri,2022-02-18,Presidents' Day
54,Tue,2022-02-22,Presidents' Day
55,Thu,2022-04-14,Good Friday
56,Mon,2022-04-18,Good Friday
57,Fri,2022-05-27,Memorial Day
58,Tue,2022-05-31,Memorial Day
59,Wed,2022-11-23,Thanksgiving Day
60,Fri,2022-11-25,Thanksgiving Day
61,Fri,2022-12-23,Christmas
62,Mon,2022-12-26,Christmas
