Date,Open,High,Low,Close,Adj Close,Volume
2001-01-02,2.341025,2.341025,2.341025,2.341025,1.934747,1102225
2001-01-03,2.271794,2.271794,2.271794,2.271794,1.877531,49803
2001-01-04,2.302564,2.302564,2.302564,2.302564,1.902960,4943445
2001-01-05,2.284615,2.284615,2.284615,2.284615,1.888126,152529
2001-01-08,2.271794,2.271794,2.271794,2.271794,1.877531,1359017
2001-01-09,2.246153,2.246153,2.246153,2.246153,1.856339,932193
2001-01-10,2.241025,2.241025,2.241025,2.241025,1.852101,420927
2001-01-11,2.210256,2.210256,2.210256,2.210256,1.826672,874902
2001-01-12,2.200000,2.200000,2.200000,2.200000,1.818196,57291
2001-01-15,2.210256,2.210256,2.210256,2.210256,1.826672,797643
2001-01-16,2.171794,2.171794,2.171794,2.171794,1.794885,1966707
2001-01-17,2.192307,2.192307,2.192307,2.192307,1.811838,1830862
2001-01-18,2.151282,2.151282,2.151282,2.151282,1.777933,1238234
2001-01-19,2.141025,2.141025,2.141025,2.141025,1.769456,3684907
2001-01-22,2.182051,2.182051,2.182051,2.182051,1.803362,446729
2001-01-23,2.182051,2.182051,2.182051,2.182051,1.803362,901781
2001-01-24,null,null,null,null,null,null
2001-01-25,2.312820,2.312820,2.312820,2.312820,1.911436,1588220
2001-01-26,null,null,null,null,null,null
2001-01-29,2.323076,2.323076,2.323076,2.323076,1.919913,132186
2001-01-30,2.369230,2.369230,2.369230,2.369230,1.958057,1821892
2001-01-31,2.374358,2.374358,2.374358,2.374358,1.962295,55645
2001-02-01,2.474358,2.474358,2.474358,2.474358,2.044940,667407
2001-02-02,2.484615,2.484615,2.484615,2.484615,2.053417,2930756
2001-02-05,2.484615,2.484615,2.484615,2.484615,2.053417,941405
2001-02-06,2.382051,2.382051,2.382051,2.382051,1.968653,1894542
2001-02-07,2.443589,2.443589,2.443589,2.443589,2.019511,357240
2001-02-08,2.476923,2.476923,2.476923,2.476923,2.047060,1067929
2001-02-09,2.476923,2.476923,2.476923,2.476923,2.047060,6116518
2001-02-12,2.464102,2.464102,2.464102,2.464102,2.036464,2294939
2001-02-13,2.464102,2.464102,2.464102,2.464102,2.036464,1323761
2001-02-14,2.471794,2.471794,2.471794,2.471794,2.042821,7748481
2001-02-15,2.505128,2.505128,2.505128,2.505128,2.070370,3225027
2001-02-16,2.515384,2.515384,2.515384,2.515384,2.078846,1237735
2001-02-19,2.443589,2.443589,2.443589,2.443589,2.019511,1517037
2001-02-20,2.474358,2.474358,2.474358,2.474358,2.044940,94239
2001-02-21,2.492307,2.492307,2.492307,2.492307,2.059774,255512
2001-02-22,2.484615,2.484615,2.484615,2.484615,2.053417,61105
2001-02-23,2.484615,2.484615,2.484615,2.484615,2.053417,564813
2001-02-26,2.476923,2.476923,2.476923,2.476923,2.047060,1526733
2001-02-27,2.494871,2.494871,2.494871,2.494871,2.061893,380952
2001-02-28,2.458974,2.458974,2.458974,2.458974,2.032226,1054287
2001-03-01,2.443589,2.443589,2.443589,2.443589,2.019511,1869706
2001-03-02,2.361538,2.361538,2.361538,2.361538,1.951699,1455714
2001-03-05,2.382051,2.382051,2.382051,2.382051,1.968653,176599
2001-03-06,2.328205,2.328205,2.328205,2.328205,1.924151,3360302
2001-03-07,2.348717,2.348717,2.348717,2.348717,1.941103,6139559
2001-03-08,2.323076,2.323076,2.323076,2.323076,1.919913,9690111
2001-03-09,2.297435,2.297435,2.297435,2.297435,1.898721,524011
2001-03-12,2.210256,2.210256,2.210256,2.210256,1.826672,41263029
2001-03-13,2.117948,2.117948,2.117948,2.117948,1.750384,6465716
2001-03-14,null,null,null,null,null,null
2001-03-15,1.997435,1.997435,1.997435,1.997435,1.650785,1882342
2001-03-16,1.989743,1.989743,1.989743,1.989743,1.644429,2168485
2001-03-19,1.953846,1.953846,1.953846,1.953846,1.614761,852111
2001-03-20,1.938461,1.938461,1.938461,1.938461,1.602046,8470441
2001-03-21,1.923076,1.923076,1.923076,1.923076,1.589331,1644817
2001-03-22,1.897435,1.897435,1.897435,1.897435,1.568140,996465
2001-03-23,1.938461,1.938461,1.938461,1.938461,1.602046,3861078
2001-03-26,2.020512,2.020512,2.020512,2.020512,1.669858,9083841
2001-03-27,2.082051,2.082051,2.082051,2.082051,1.720717,2913900
2001-03-28,2.084615,2.084615,2.084615,2.084615,1.722836,4689149
2001-03-29,2.046153,2.046153,2.046153,2.046153,1.691049,4366026
2001-03-30,2.066666,2.066666,2.066666,2.066666,1.708002,3766378
2001-04-02,2.020512,2.020512,2.020512,2.020512,1.669858,1974733
2001-04-03,1.979487,1.979487,1.979487,1.979487,1.635952,7478281
2001-04-04,2.038461,2.038461,2.038461,2.038461,1.684692,1567979
2001-04-05,2.151282,2.151282,2.151282,2.151282,1.777933,3220144
2001-04-06,2.133333,2.133333,2.133333,2.133333,1.763099,724448
2001-04-09,2.187179,2.187179,2.187179,2.187179,1.807600,1006379
2001-04-10,2.187179,2.187179,2.187179,2.187179,1.807600,859872
2001-04-11,2.174358,2.174358,2.174358,2.174358,1.797004,1146873
2001-04-12,2.110256,2.110256,2.110256,2.110256,1.744027,209125
2001-04-13,null,null,null,null,null,null
2001-04-16,null,null,null,null,null,null
2001-04-17,2.110256,2.110256,2.110256,2.110256,1.744027,2044497
2001-04-18,2.210256,2.210256,2.210256,2.210256,1.826672,65894
2001-04-19,2.261538,2.261538,2.261538,2.261538,1.869054,2128152
2001-04-20,2.261538,2.261538,2.261538,2.261538,1.869054,1103200
