Date,maturity,value
1/2/2020,1 Mo,1.53
1/3/2020,1 Mo,1.52
1/6/2020,1 Mo,1.54
1/7/2020,1 Mo,1.52
1/8/2020,1 Mo,1.5
1/9/2020,1 Mo,1.53
1/10/2020,1 Mo,1.52
1/13/2020,1 Mo,1.54
1/14/2020,1 Mo,1.53
1/15/2020,1 Mo,1.53
1/16/2020,1 Mo,1.54
1/17/2020,1 Mo,1.54
1/21/2020,1 Mo,1.52
1/22/2020,1 Mo,1.52
1/23/2020,1 Mo,1.55
1/24/2020,1 Mo,1.54
1/27/2020,1 Mo,1.53
1/28/2020,1 Mo,1.53
1/29/2020,1 Mo,1.52
1/30/2020,1 Mo,1.59
1/31/2020,1 Mo,1.56
2/3/2020,1 Mo,1.56
2/4/2020,1 Mo,1.55
2/5/2020,1 Mo,1.55
2/6/2020,1 Mo,1.59
2/7/2020,1 Mo,1.57
2/10/2020,1 Mo,1.58
2/11/2020,1 Mo,1.57
2/12/2020,1 Mo,1.57
2/13/2020,1 Mo,1.59
2/14/2020,1 Mo,1.6
2/18/2020,1 Mo,1.61
2/19/2020,1 Mo,1.61
2/20/2020,1 Mo,1.61
2/21/2020,1 Mo,1.6
2/24/2020,1 Mo,1.6
2/25/2020,1 Mo,1.59
2/26/2020,1 Mo,1.59
2/27/2020,1 Mo,1.56
2/28/2020,1 Mo,1.45
3/2/2020,1 Mo,1.41
3/3/2020,1 Mo,1.11
3/4/2020,1 Mo,1.0
3/5/2020,1 Mo,0.92
3/6/2020,1 Mo,0.79
3/9/2020,1 Mo,0.57
3/10/2020,1 Mo,0.57
3/11/2020,1 Mo,0.42
3/12/2020,1 Mo,0.41
3/13/2020,1 Mo,0.33
3/16/2020,1 Mo,0.25
3/17/2020,1 Mo,0.12
3/18/2020,1 Mo,0.04
3/19/2020,1 Mo,0.04
3/20/2020,1 Mo,0.04
3/23/2020,1 Mo,0.01
3/24/2020,1 Mo,0.01
3/25/2020,1 Mo,0.0
3/26/2020,1 Mo,0.01
3/27/2020,1 Mo,0.01
3/30/2020,1 Mo,0.04
3/31/2020,1 Mo,0.05
4/1/2020,1 Mo,0.03
4/2/2020,1 Mo,0.09
4/3/2020,1 Mo,0.09
4/6/2020,1 Mo,0.09
4/7/2020,1 Mo,0.1
4/8/2020,1 Mo,0.14
4/9/2020,1 Mo,0.2
4/13/2020,1 Mo,0.17
4/14/2020,1 Mo,0.17
4/15/2020,1 Mo,0.14
4/16/2020,1 Mo,0.14
4/17/2020,1 Mo,0.12
4/20/2020,1 Mo,0.1
4/21/2020,1 Mo,0.08
4/22/2020,1 Mo,0.09
4/23/2020,1 Mo,0.09
4/24/2020,1 Mo,0.1
4/27/2020,1 Mo,0.09
4/28/2020,1 Mo,0.08
4/29/2020,1 Mo,0.1
4/30/2020,1 Mo,0.1
5/1/2020,1 Mo,0.1
5/4/2020,1 Mo,0.1
5/5/2020,1 Mo,0.09
5/6/2020,1 Mo,0.08
5/7/2020,1 Mo,0.1
5/8/2020,1 Mo,0.1
5/11/2020,1 Mo,0.09
5/12/2020,1 Mo,0.1
5/13/2020,1 Mo,0.1
5/14/2020,1 Mo,0.09
5/15/2020,1 Mo,0.09
5/18/2020,1 Mo,0.1
5/19/2020,1 Mo,0.09
5/20/2020,1 Mo,0.08
5/21/2020,1 Mo,0.09
5/22/2020,1 Mo,0.09
5/26/2020,1 Mo,0.1
5/27/2020,1 Mo,0.11
5/28/2020,1 Mo,0.14
5/29/2020,1 Mo,0.13
6/1/2020,1 Mo,0.12
6/2/2020,1 Mo,0.12
6/3/2020,1 Mo,0.12
6/4/2020,1 Mo,0.13
6/5/2020,1 Mo,0.13
6/8/2020,1 Mo,0.15
6/9/2020,1 Mo,0.14
6/10/2020,1 Mo,0.13
6/11/2020,1 Mo,0.14
6/12/2020,1 Mo,0.14
6/15/2020,1 Mo,0.15
6/16/2020,1 Mo,0.14
6/17/2020,1 Mo,0.13
6/18/2020,1 Mo,0.13
6/19/2020,1 Mo,0.13
6/22/2020,1 Mo,0.14
6/23/2020,1 Mo,0.12
6/24/2020,1 Mo,0.11
6/25/2020,1 Mo,0.13
6/26/2020,1 Mo,0.12
6/29/2020,1 Mo,0.11
6/30/2020,1 Mo,0.13
7/1/2020,1 Mo,0.12
7/2/2020,1 Mo,0.13
7/6/2020,1 Mo,0.12
7/7/2020,1 Mo,0.12
7/8/2020,1 Mo,0.11
7/9/2020,1 Mo,0.11
7/10/2020,1 Mo,0.1
7/13/2020,1 Mo,0.11
7/14/2020,1 Mo,0.11
7/15/2020,1 Mo,0.12
7/16/2020,1 Mo,0.12
7/17/2020,1 Mo,0.11
7/20/2020,1 Mo,0.11
7/21/2020,1 Mo,0.09
7/22/2020,1 Mo,0.09
7/23/2020,1 Mo,0.09
7/24/2020,1 Mo,0.1
7/27/2020,1 Mo,0.1
7/28/2020,1 Mo,0.09
7/29/2020,1 Mo,0.09
7/30/2020,1 Mo,0.1
7/31/2020,1 Mo,0.09
8/3/2020,1 Mo,0.09
8/4/2020,1 Mo,0.09
8/5/2020,1 Mo,0.08
8/6/2020,1 Mo,0.07
8/7/2020,1 Mo,0.08
8/10/2020,1 Mo,0.09
8/11/2020,1 Mo,0.08
8/12/2020,1 Mo,0.08
8/13/2020,1 Mo,0.08
8/14/2020,1 Mo,0.09
8/17/2020,1 Mo,0.09
8/18/2020,1 Mo,0.08
8/19/2020,1 Mo,0.07
8/20/2020,1 Mo,0.08
8/21/2020,1 Mo,0.07
8/24/2020,1 Mo,0.09
8/25/2020,1 Mo,0.08
8/26/2020,1 Mo,0.08
8/27/2020,1 Mo,0.09
8/28/2020,1 Mo,0.09
8/31/2020,1 Mo,0.08
9/1/2020,1 Mo,0.09
9/2/2020,1 Mo,0.1
9/3/2020,1 Mo,0.1
9/4/2020,1 Mo,0.09
9/8/2020,1 Mo,0.1
9/9/2020,1 Mo,0.1
9/10/2020,1 Mo,0.1
9/11/2020,1 Mo,0.1
9/14/2020,1 Mo,0.1
9/15/2020,1 Mo,0.09
9/16/2020,1 Mo,0.08
9/17/2020,1 Mo,0.09
9/18/2020,1 Mo,0.09
9/21/2020,1 Mo,0.09
9/22/2020,1 Mo,0.08
9/23/2020,1 Mo,0.08
9/24/2020,1 Mo,0.08
9/25/2020,1 Mo,0.08
9/28/2020,1 Mo,0.09
9/29/2020,1 Mo,0.07
