,Date,iron ore,gold,aud,jpy,cny,usd,krw,gbp,sgd
1,5/6/2013,166.7189707,1922.629322,0.7842,0.007698,0.124015,0.76476,0.00069845,1.1886,0.6212
3,5/7/2013,170.7920598,1899.520542,0.7788,0.007722,0.124245,0.764614,0.0007013,1.184,0.62065
5,5/8/2013,172.2582308,1938.480519,0.77325,0.00768,0.123805,0.760312,0.0006998,1.18105,0.61935
7,5/9/2013,169.8003691,1901.808482,0.7738,0.007621,0.12505,0.766665,0.00070205,1.1844,0.62155
9,5/13/2013,167.8833822,1856.28051,0.7671,0.007568,0.125385,0.770654,0.00069225,1.17905,0.62075
11,5/14/2013,166.1511588,1841.939343,0.7655,0.007561,0.126,0.773994,0.00069725,1.1772,0.62255
13,5/15/2013,164.8633463,1794.643133,0.7681,0.00759,0.12626,0.775976,0.00069605,1.1822,0.6227
15,5/16/2013,164.6319548,1786.153654,0.76145,0.007592,0.126245,0.776277,0.0006945,1.1854,0.61975
17,5/17/2013,163.6587035,1746.29627,0.75765,0.007547,0.126825,0.778877,0.0006965,1.1816,0.61865
19,5/20/2013,164.0068695,1796.152216,0.76135,0.00759,0.12644,0.776187,0.0006943,1.1843,0.6189
21,5/21/2013,164.3514545,1776.322497,0.7596,0.007559,0.12628,0.774803,0.0006971,1.17425,0.61495
23,5/22/2013,163.3994492,1760.32433,0.7542,0.007539,0.12685,0.777726,0.0006981,1.1704,0.61395
25,5/23/2013,163.9121593,1799.657455,0.7538,0.007577,0.126025,0.773036,0.00068485,1.1679,0.6118
27,5/24/2013,163.8807923,1792.369385,0.74605,0.007635,0.126115,0.773306,0.0006854,1.16975,0.6117
29,5/28/2013,162.6283832,1775.220577,0.748,0.007598,0.12707,0.777847,0.0006894,1.16985,0.6121
31,5/29/2013,162.1636311,1802.357332,0.74445,0.007639,0.126125,0.772738,0.00068235,1.1693,0.61025
33,5/30/2013,162.6811991,1844.942606,0.74035,0.007607,0.124985,0.766284,0.0006787,1.1673,0.60925
35,6/3/2013,153.316073,1845.807835,0.74735,0.007684,0.12472,0.76476,0.0006828,1.1717,0.61065
37,6/4/2013,154.7815099,1831.073242,0.73775,0.007643,0.12474,0.764497,0.0006805,1.17075,0.61045
39,6/5/2013,149.9262154,1836.759813,0.72865,0.007709,0.12463,0.763709,0.0006825,1.17655,0.61125
41,6/6/2013,147.3673892,1872.592447,0.72425,0.007786,0.12303,0.754916,0.0006746,1.17785,0.6067
43,6/7/2013,147.8728159,1830.678155,0.71805,0.007753,0.1233,0.756258,0.00067665,1.17655,0.6055
45,6/10/2013,148.8099184,1838.614484,0.7139,0.007637,0.122985,0.754318,0.00066865,1.17465,0.5996
47,6/11/2013,149.9002041,1834.939344,0.7079,0.007821,0.122445,0.751033,0.0006629,1.1754,0.5989
49,6/12/2013,150.1001646,1851.444317,0.7109,0.007808,0.12224,0.749766,0.00066455,1.17555,0.59705
51,6/13/2013,150.2412849,1854.576387,0.7207,0.007839,0.121885,0.747664,0.0006615,1.1753,0.59875
53,6/14/2013,153.0500566,1856.167382,0.7169,0.007963,0.122205,0.749232,0.00066435,1.1769,0.5987
55,6/17/2013,154.6334557,1851.336917,0.71415,0.007915,0.122125,0.748027,0.00066315,1.17635,0.596
57,6/18/2013,155.477543,1832.834853,0.7083,0.007832,0.121825,0.746603,0.000658,1.1679,0.59185
59,6/19/2013,154.9872306,1796.618146,0.6991,0.007797,0.122765,0.752191,0.00066505,1.1648,0.5928
61,6/20/2013,152.25467,1689.515223,0.6957,0.007775,0.123435,0.75643,0.00066,1.17315,0.59395
63,6/21/2013,151.1375671,1702.380906,0.7025,0.007784,0.12424,0.762021,0.00065885,1.17505,0.5971
65,6/24/2013,150.8628041,1682.763072,0.70505,0.0078,0.124045,0.762282,0.000656,1.17645,0.59755
67,6/25/2013,150.2550266,1671.202799,0.7079,0.007813,0.124385,0.764234,0.0006626,1.1788,0.60235
69,6/26/2013,149.2086748,1593.710517,0.71295,0.007863,0.125025,0.768521,0.0006648,1.17695,0.6032
71,6/27/2013,149.6053548,1565.673817,0.7114,0.007798,0.12474,0.767018,0.00066805,1.17035,0.60555
73,7/1/2013,152.5222676,1637.311846,0.7072,0.00768,0.124815,0.765462,0.00067405,1.1648,0.6056
75,7/2/2013,154.8784841,1612.641552,0.70475,0.007657,0.12563,0.770475,0.0006789,1.1676,0.6059
77,7/3/2013,156.3231728,1630.680813,0.69855,0.007694,0.125375,0.768728,0.0006734,1.1745,0.60375
79,7/5/2013,155.1585204,1570.325612,0.7066,0.007701,0.12708,0.779332,0.0006822,1.16035,0.6081
81,7/8/2013,154.7488356,1592.018543,0.7097,0.007696,0.126675,0.777001,0.0006766,1.1617,0.60765
