date,nok,usd,eur,gbp,brent
4/25/2013,0.059165,0.010075059,0.007742,0.006528,10263.95955
4/26/2013,0.0596635,0.010198878,0.007828,0.006589,10114.838
4/29/2013,0.059459,0.010228609,0.007808,0.006599,10148.98465
4/30/2013,0.059232,0.010264306,0.007795,0.006608,9973.39725
5/1/2013,0.059231,0.010267995,0.007791,0.006601,9734.1305
5/2/2013,0.0592275,0.010207727,0.007813,0.006571,10075.70025
5/3/2013,0.0586055,0.01009744,0.007699,0.0064845,10318.45665
5/6/2013,0.05874,0.010065932,0.007698,0.0064765,10476.9237
5/7/2013,0.059026,0.01009948,0.007722,0.006522,10337.166
5/8/2013,0.05807,0.0101005,0.00768,0.006502,10330.1817
5/9/2013,0.057469,0.009939864,0.007621,0.006434,10510.20435
5/10/2013,0.057004,0.009841067,0.007574,0.006405,10558.81465
5/13/2013,0.0569805,0.009820771,0.007568,0.006419,10469.6465
5/14/2013,0.0570045,0.009768964,0.007561,0.0064225,10502.649
5/15/2013,0.0571955,0.009781386,0.00759,0.00642,10599.7248
5/16/2013,0.057061,0.009779473,0.007592,0.006404,10614.069
5/17/2013,0.0567165,0.009688984,0.007547,0.0063865,10799.8944
5/20/2013,0.057053,0.009778039,0.00759,0.00641,10717.896
5/21/2013,0.0564935,0.009756573,0.007559,0.0064375,10650.25545
5/22/2013,0.0563715,0.00969415,0.007539,0.006442,10583.703
5/23/2013,0.057138,0.009801519,0.007577,0.0064875,10451.441
5/24/2013,0.057582,0.009872643,0.007635,0.006527,10396.4056
5/27/2013,0.057911,0.009906385,0.007661,0.006559,10358.9759
5/28/2013,0.057607,0.00976801,0.007598,0.006494,10670.54625
5/29/2013,0.058315,0.009885819,0.007639,0.006532,10361.30665
5/30/2013,0.0578315,0.009927036,0.007607,0.006517,10294.10965
5/31/2013,0.0584095,0.009951734,0.007656,0.0065475,10087.68915
6/3/2013,0.058316,0.010047222,0.007684,0.006557,10158.0318
6/4/2013,0.0581005,0.009997501,0.007643,0.0065285,10326.581
6/5/2013,0.058651,0.010094382,0.007709,0.0065525,10207.6576
6/6/2013,0.0592655,0.010313531,0.007786,0.00661,10046.0256
6/7/2013,0.0591365,0.010251679,0.007753,0.006589,10199.3052
6/10/2013,0.0583275,0.010124532,0.007637,0.006502,10267.1415
6/11/2013,0.060154,0.010413955,0.007821,0.006654,9886.734
6/12/2013,0.0599535,0.010413412,0.007808,0.006642,9938.1447
6/13/2013,0.0601955,0.010484928,0.007839,0.00667,9942.84375
6/14/2013,0.060761,0.010628687,0.007963,0.006768,9966.42405
